# Running Times: 10
# P   V   T(ms)   E
0.1 1000 22 100183
0.1 2000 88 400170
0.1 3000 246 898923
0.1 4000 464 1598720
0.1 5000 762 2504663
0.1 6000 1154 3597598
0.1 7000 1642 4898583
0.1 8000 2245 6397846
0.1 9000 3007 8099755
0.1 10000 3971 10000625
0.2 1000 44 199826
0.2 2000 179 799098
0.2 3000 511 1799059
0.2 4000 953 3197745
0.2 5000 1566 4999016
0.2 6000 2381 7202154
0.2 7000 3399 9797080
0.2 8000 4839 12802270
0.2 9000 6664 16197930
0.2 10000 8808 20007633
0.3 1000 65 299667
0.3 2000 321 1200273
0.3 3000 771 2700472
0.3 4000 1436 4798654
0.3 5000 2380 7501654
0.3 6000 3628 10799092
0.3 7000 5314 14696438
0.3 8000 7652 19197035
0.3 9000 10450 24307431
0.3 10000 13809 29997683
0.4 1000 85 399785
0.4 2000 431 1599634
0.4 3000 1027 3600736
0.4 4000 1920 6401006
0.4 5000 3167 9993959
0.4 6000 4918 14402684
0.4 7000 7334 19598688
0.4 8000 10456 25604806
0.4 9000 14113 32399042
0.4 10000 18486 40002143
0.5 1000 107 501865
0.5 2000 538 1999564
0.5 3000 1276 4499884
0.5 4000 2398 8000653
0.5 5000 3967 12502999
0.5 6000 6215 18004622
0.5 7000 9305 24508453
0.5 8000 12984 32002677
0.5 9000 17449 40498622
0.5 10000 22819 49998324
0.6 1000 129 599728
0.6 2000 641 2399260
0.6 3000 1521 5398345
0.6 4000 2873 9601493
0.6 5000 4810 14997997
0.6 6000 7513 21600829
0.6 7000 11062 29399428
0.6 8000 15636 38403970
0.6 9000 20796 48596285
0.6 10000 27483 59994380
0.7 1000 147 699892
0.7 2000 743 2798855
0.7 3000 1769 6301947
0.7 4000 3362 11200518
0.7 5000 5587 17498141
0.7 6000 8852 25196648
0.7 7000 12956 34298650
0.7 8000 18029 44798553
0.7 9000 24289 56699004
0.7 10000 32204 70002459
0.8 1000 169 800185
0.8 2000 849 3199358
0.8 3000 2012 7199501
0.8 4000 3819 12799463
0.8 5000 6380 19998489
0.8 6000 10118 28802440
0.8 7000 14725 39202090
0.8 8000 20457 51202510
0.8 9000 27857 64802515
0.8 10000 36578 79999550
0.9 1000 191 900369
0.9 2000 945 3600947
0.9 3000 2267 8100262
0.9 4000 4274 14400061
0.9 5000 7268 22499448
0.9 6000 11323 32399741
0.9 7000 16474 44101932
0.9 8000 23202 57603721
0.9 9000 31207 72898589
0.9 10000 41047 90001964
1 1000 201 1000000
1 2000 1049 4000000
1 3000 2573 9000000
1 4000 5286 16000000
1 5000 9580 25000000
1 6000 14481 36000000
1 7000 19618 49000000
1 8000 31148 64000000
1 9000 37909 81000000
1 10000 51704 100000000
