# Running Times: 10
# P   V   T(ms)   E
0.1 1000 24 100520
0.1 2000 103 399808
0.1 3000 251 899883
0.1 4000 467 1599464
0.1 5000 772 2501061
0.1 6000 1166 3599410
0.1 7000 1651 4898944
0.1 8000 2270 6400365
0.1 9000 3039 8104611
0.1 10000 4029 9997380
0.2 1000 44 200710
0.2 2000 211 799695
0.2 3000 518 1800365
0.2 4000 963 3199826
0.2 5000 1580 4997284
0.2 6000 2389 7201403
0.2 7000 3445 9800212
0.2 8000 5537 12801543
0.2 9000 7736 16197743
0.2 10000 10084 19999024
0.3 1000 72 299923
0.3 2000 269 1200772
0.3 3000 866 2699570
0.3 4000 1690 4798326
0.3 5000 2683 7500750
0.3 6000 3649 10798188
0.3 7000 5385 14703978
0.3 8000 7706 19198849
0.3 9000 10508 24303902
0.3 10000 13947 29995403
0.4 1000 87 399820
0.4 2000 434 1598612
0.4 3000 1039 3601589
0.4 4000 1937 6395787
0.4 5000 3192 10001624
0.4 6000 4933 14406725
0.4 7000 7361 19604088
0.4 8000 10524 25604383
0.4 9000 14196 32398720
0.4 10000 18609 40000614
0.5 1000 107 499797
0.5 2000 541 2000477
0.5 3000 1288 4498069
0.5 4000 2420 8000926
0.5 5000 4015 12496288
0.5 6000 6294 18003506
0.5 7000 9380 24500152
0.5 8000 13083 32002322
0.5 9000 17518 40497144
0.5 10000 22830 49991940
0.6 1000 128 599362
0.6 2000 646 2399877
0.6 3000 1539 5400069
0.6 4000 2887 9599571
0.6 5000 4868 14998448
0.6 6000 7563 21597944
0.6 7000 11165 29398383
0.6 8000 15607 38395424
0.6 9000 20740 48602880
0.6 10000 27379 59998073
0.7 1000 149 700197
0.7 2000 748 2800425
0.7 3000 1791 6300303
0.7 4000 3373 11199432
0.7 5000 5646 17502832
0.7 6000 8874 25198408
0.7 7000 13008 34295000
0.7 8000 17971 44802868
0.7 9000 24371 56703328
0.7 10000 32230 70008404
0.8 1000 170 799981
0.8 2000 855 3198407
0.8 3000 2032 7200807
0.8 4000 3850 12798500
0.8 5000 6428 19999666
0.8 6000 10155 28800108
0.8 7000 14755 39201435
0.8 8000 20365 51198520
0.8 9000 28072 64800494
0.8 10000 36654 80005547
0.9 1000 195 900114
0.9 2000 954 3599861
0.9 3000 2285 8099906
0.9 4000 4299 14400208
0.9 5000 7265 22499582
0.9 6000 11315 32401432
0.9 7000 16442 44098828
0.9 8000 23156 57599062
0.9 9000 31356 72899248
0.9 10000 41087 90004166
1 1000 204 1000000
1 2000 908 4000000
1 3000 2565 9000000
1 4000 5202 16000000
1 5000 9392 25000000
1 6000 14201 36000000
1 7000 19483 49000000
1 8000 30044 64000000
1 9000 37420 81000000
1 10000 52979 100000000
