# Running Times: 10
# P   V   T(ms)   E
0.1 1000 21 99855
0.1 2000 105 399299
0.1 3000 250 901128
0.1 4000 465 1601195
0.1 5000 764 2499518
0.1 6000 1164 3600922
0.1 7000 1640 4901620
0.1 8000 2248 6397549
0.1 9000 3001 8103107
0.1 10000 3997 10002808
0.2 1000 44 199747
0.2 2000 208 799440
0.2 3000 513 1798603
0.2 4000 959 3202381
0.2 5000 1569 4998772
0.2 6000 2377 7198158
0.2 7000 3419 9796801
0.2 8000 4827 12796575
0.2 9000 6660 16201957
0.2 10000 8841 19991665
0.3 1000 65 299575
0.3 2000 321 1200930
0.3 3000 771 2701731
0.3 4000 1442 4802402
0.3 5000 2377 7498455
0.3 6000 3643 10799942
0.3 7000 5318 14704575
0.3 8000 7680 19203727
0.3 9000 10528 24308338
0.3 10000 13935 30004298
0.4 1000 86 400095
0.4 2000 432 1600725
0.4 3000 1030 3600799
0.4 4000 1930 6401104
0.4 5000 3179 9997389
0.4 6000 4916 14399994
0.4 7000 7331 19602257
0.4 8000 10513 25598715
0.4 9000 14196 32394515
0.4 10000 18525 39995263
0.5 1000 107 500630
0.5 2000 536 2000705
0.5 3000 1279 4500581
0.5 4000 2396 7999955
0.5 5000 3987 12499555
0.5 6000 6219 17998300
0.5 7000 9355 24501034
0.5 8000 13066 31995735
0.5 9000 17549 40508547
0.5 10000 22816 49997134
0.6 1000 128 600688
0.6 2000 530 2399647
0.6 3000 1532 5400847
0.6 4000 2878 9598274
0.6 5000 4814 14996876
0.6 6000 7526 21599990
0.6 7000 11113 29397415
0.6 8000 15637 38400724
0.6 9000 20801 48603751
0.6 10000 27555 60005895
0.7 1000 149 699573
0.7 2000 747 2800441
0.7 3000 1778 6300149
0.7 4000 3374 11198283
0.7 5000 5606 17502390
0.7 6000 8814 25198132
0.7 7000 12922 34303479
0.7 8000 17937 44806421
0.7 9000 24336 56702547
0.7 10000 32130 70004496
0.8 1000 170 799894
0.8 2000 845 3199485
0.8 3000 2020 7201126
0.8 4000 3839 12799658
0.8 5000 6374 19998848
0.8 6000 10081 28800387
0.8 7000 14659 39200434
0.8 8000 20436 51201121
0.8 9000 27920 64799465
0.8 10000 36540 80000496
0.9 1000 191 899649
0.9 2000 947 3600439
0.9 3000 2265 8099205
0.9 4000 4271 14399090
0.9 5000 7239 22501831
0.9 6000 11283 32400364
0.9 7000 16453 44097988
0.9 8000 23312 57594495
0.9 9000 31450 72898014
0.9 10000 41203 89999128
1 1000 201 1000000
1 2000 1062 4000000
1 3000 2570 9000000
1 4000 5257 16000000
1 5000 9619 25000000
1 6000 14345 36000000
1 7000 19564 49000000
1 8000 31044 64000000
1 9000 38837 81000000
1 10000 53494 100000000
