# Running Times: 10
# P   V   T(ms)   E
0.1 1000 23 99943
0.1 2000 94 399928
0.1 3000 259 898632
0.1 4000 489 1599128
0.1 5000 791 2500758
0.1 6000 928 3599121
0.1 7000 1287 4897423
0.1 8000 1671 6399819
0.1 9000 2212 8101058
0.1 10000 2736 10000500
0.2 1000 48 199713
0.2 2000 222 799925
0.2 3000 520 1799900
0.2 4000 1048 3199409
0.2 5000 1685 5005278
0.2 6000 2463 7201552
0.2 7000 3616 9800453
0.2 8000 5161 12801597
0.2 9000 7126 16198618
0.2 10000 10407 19998238
0.3 1000 65 300348
0.3 2000 323 1199765
0.3 3000 783 2699342
0.3 4000 1442 4802198
0.3 5000 2390 7501212
0.3 6000 3696 10798366
0.3 7000 5475 14703656
0.3 8000 7928 19204707
0.3 9000 10937 24309042
0.3 10000 14407 30000008
0.4 1000 84 400251
0.4 2000 434 1600719
0.4 3000 1025 3599592
0.4 4000 1923 6398477
0.4 5000 3200 9995122
0.4 6000 4939 14399628
0.4 7000 7416 19594367
0.4 8000 10779 25602012
0.4 9000 14651 32395665
0.4 10000 19309 39999422
0.5 1000 106 500272
0.5 2000 534 2000658
0.5 3000 1276 4499523
0.5 4000 2416 7999223
0.5 5000 4443 12497607
0.5 6000 8617 17999716
0.5 7000 15151 24506369
0.5 8000 13297 32002313
0.5 9000 18038 40497626
0.5 10000 23248 50004659
0.6 1000 128 599745
0.6 2000 637 2398544
0.6 3000 1522 5399019
0.6 4000 2863 9599623
0.6 5000 4827 14995463
0.6 6000 7488 21603003
0.6 7000 11158 29399629
0.6 8000 15893 38399504
0.6 9000 21350 48596387
0.6 10000 27952 60005649
0.7 1000 148 699459
0.7 2000 739 2799782
0.7 3000 1760 6299527
0.7 4000 3348 11201301
0.7 5000 5606 17497799
0.7 6000 8770 25200285
0.7 7000 13064 34299145
0.7 8000 18306 44801512
0.7 9000 24851 56698862
0.7 10000 32428 69995510
0.8 1000 170 799715
0.8 2000 843 3200667
0.8 3000 2015 7197568
0.8 4000 3815 12796214
0.8 5000 6423 20000317
0.8 6000 10104 28800974
0.8 7000 14829 39195162
0.8 8000 20809 51199257
0.8 9000 28379 64796840
0.8 10000 36589 79998202
0.9 1000 193 899691
0.9 2000 940 3600352
0.9 3000 2267 8100234
0.9 4000 4276 14398336
0.9 5000 7290 22499526
0.9 6000 11326 32402187
0.9 7000 16600 44099756
0.9 8000 23313 57602016
0.9 9000 31453 72897792
0.9 10000 41164 90000284
1 1000 205 1000000
1 2000 1061 4000000
1 3000 2620 9000000
1 4000 5687 16000000
1 5000 9690 25000000
1 6000 14882 36000000
1 7000 19699 49000000
1 8000 32270 64000000
1 9000 37796 81000000
1 10000 52905 100000000
