# Running Times: 10
# P   V   T(ms)   E
0.1 1000 21 100281
0.1 2000 101 399451
0.1 3000 246 899421
0.1 4000 466 1597361
0.1 5000 767 2502356
0.1 6000 1155 3601512
0.1 7000 1643 4898281
0.1 8000 2241 6398394
0.1 9000 2984 8101746
0.1 10000 4030 10002439
0.2 1000 45 200566
0.2 2000 209 798687
0.2 3000 512 1801391
0.2 4000 954 3198846
0.2 5000 1574 5000912
0.2 6000 2364 7194961
0.2 7000 3438 9802227
0.2 8000 4860 12804078
0.2 9000 6705 16201277
0.2 10000 8837 20000472
0.3 1000 65 299799
0.3 2000 323 1199974
0.3 3000 771 2699722
0.3 4000 1440 4801486
0.3 5000 2373 7497890
0.3 6000 3622 10798048
0.3 7000 5355 14694145
0.3 8000 7699 19201132
0.3 9000 10515 24306987
0.3 10000 13906 29995277
0.4 1000 86 399878
0.4 2000 430 1598394
0.4 3000 1024 3601145
0.4 4000 1920 6396804
0.4 5000 3193 9998539
0.4 6000 4904 14401749
0.4 7000 7329 19599809
0.4 8000 10492 25599481
0.4 9000 14166 32400955
0.4 10000 18517 40001318
0.5 1000 107 500268
0.5 2000 539 1999772
0.5 3000 1284 4499228
0.5 4000 2395 7998486
0.5 5000 3983 12498965
0.5 6000 6258 18000520
0.5 7000 9356 24504634
0.5 8000 13037 32002828
0.5 9000 17512 40503906
0.5 10000 22857 50000091
0.6 1000 127 599964
0.6 2000 638 2399430
0.6 3000 1524 5404140
0.6 4000 2870 9600199
0.6 5000 4836 15003602
0.6 6000 7550 21597489
0.6 7000 11124 29400256
0.6 8000 15584 38402659
0.6 9000 20863 48601832
0.6 10000 27461 60001505
0.7 1000 149 700279
0.7 2000 743 2800466
0.7 3000 1768 6300780
0.7 4000 3357 11202674
0.7 5000 5631 17500932
0.7 6000 8848 25200530
0.7 7000 13019 34303812
0.7 8000 17946 44805697
0.7 9000 24326 56693456
0.7 10000 32198 70010019
0.8 1000 170 800661
0.8 2000 719 3198375
0.8 3000 2019 7200882
0.8 4000 3821 12800645
0.8 5000 6391 20003105
0.8 6000 10095 28799738
0.8 7000 14668 39201884
0.8 8000 20449 51202626
0.8 9000 28037 64803990
0.8 10000 36807 80001039
0.9 1000 195 900537
0.9 2000 946 3599529
0.9 3000 2263 8098875
0.9 4000 4277 14401208
0.9 5000 7227 22500190
0.9 6000 11364 32398800
0.9 7000 16497 44100290
0.9 8000 23098 57601162
0.9 9000 31295 72894600
0.9 10000 41104 89998682
1 1000 201 1000000
1 2000 1056 4000000
1 3000 2573 9000000
1 4000 5231 16000000
1 5000 9582 25000000
1 6000 14201 36000000
1 7000 19660 49000000
1 8000 29528 64000000
1 9000 38172 81000000
1 10000 52819 100000000
