# Running Times: 10
# P   V   T(ms)   E
0.1 1000 21 100404
0.1 2000 102 400616
0.1 3000 248 900170
0.1 4000 470 1600631
0.1 5000 770 2500846
0.1 6000 1160 3601154
0.1 7000 1654 4901451
0.1 8000 2254 6398670
0.1 9000 3010 8098806
0.1 10000 4002 9997290
0.2 1000 45 200725
0.2 2000 210 799993
0.2 3000 516 1799096
0.2 4000 964 3198667
0.2 5000 1575 5000798
0.2 6000 2377 7197022
0.2 7000 3427 9798349
0.2 8000 4835 12797434
0.2 9000 6681 16196669
0.2 10000 8815 20009544
0.3 1000 66 300041
0.3 2000 322 1199479
0.3 3000 773 2699155
0.3 4000 1446 4800211
0.3 5000 2390 7500098
0.3 6000 3644 10801151
0.3 7000 5311 14702073
0.3 8000 7635 19199759
0.3 9000 10490 24297791
0.3 10000 13915 30007672
0.4 1000 86 401025
0.4 2000 436 1598752
0.4 3000 1032 3603881
0.4 4000 1927 6400164
0.4 5000 3184 10001710
0.4 6000 4895 14397554
0.4 7000 7310 19606645
0.4 8000 10507 25597120
0.4 9000 14168 32401551
0.4 10000 18523 39995726
0.5 1000 107 500437
0.5 2000 538 2000257
0.5 3000 1287 4500006
0.5 4000 2401 7998459
0.5 5000 3984 12498372
0.5 6000 6226 18001631
0.5 7000 9357 24501144
0.5 8000 12999 31990145
0.5 9000 17504 40496933
0.5 10000 23042 49999551
0.6 1000 128 600666
0.6 2000 641 2399432
0.6 3000 1532 5399265
0.6 4000 2875 9598490
0.6 5000 4813 14998549
0.6 6000 7547 21603330
0.6 7000 11118 29397521
0.6 8000 15586 38394831
0.6 9000 20778 48601662
0.6 10000 27405 60000666
0.7 1000 149 700491
0.7 2000 747 2801991
0.7 3000 1774 6300644
0.7 4000 3363 11199684
0.7 5000 5618 17501674
0.7 6000 8822 25200333
0.7 7000 12988 34300716
0.7 8000 17889 44792754
0.7 9000 24271 56703146
0.7 10000 32244 69996036
0.8 1000 170 800297
0.8 2000 847 3199557
0.8 3000 2024 7199049
0.8 4000 3846 12801822
0.8 5000 6396 19999785
0.8 6000 10086 28800592
0.8 7000 14645 39202863
0.8 8000 20525 51200221
0.8 9000 27823 64799261
0.8 10000 36538 80004172
0.9 1000 192 899930
0.9 2000 950 3600379
0.9 3000 2268 8099675
0.9 4000 4274 14399440
0.9 5000 7211 22502090
0.9 6000 11290 32400521
0.9 7000 16397 44099773
0.9 8000 23174 57598780
0.9 9000 31145 72904240
0.9 10000 41106 89994143
1 1000 201 1000000
1 2000 904 4000000
1 3000 2573 9000000
1 4000 5303 16000000
1 5000 9445 25000000
1 6000 14348 36000000
1 7000 19469 49000000
1 8000 31148 64000000
1 9000 38381 81000000
1 10000 52731 100000000
