# Running Times: 10
# P   V   T(ms)   E
0.1 1000 20 99623
0.1 2000 103 399804
0.1 3000 250 899894
0.1 4000 467 1600201
0.1 5000 770 2500276
0.1 6000 1167 3598750
0.1 7000 1651 4900242
0.1 8000 2260 6400450
0.1 9000 3026 8096952
0.1 10000 3995 9998710
0.2 1000 45 200027
0.2 2000 211 799959
0.2 3000 519 1801074
0.2 4000 967 3200688
0.2 5000 1573 5001476
0.2 6000 2388 7195248
0.2 7000 3443 9792178
0.2 8000 4876 12801299
0.2 9000 6726 16198752
0.2 10000 8862 19997236
0.3 1000 64 299731
0.3 2000 323 1199920
0.3 3000 777 2699466
0.3 4000 1456 4802413
0.3 5000 2387 7495322
0.3 6000 3657 10800282
0.3 7000 5387 14699181
0.3 8000 7690 19205619
0.3 9000 10490 24295177
0.3 10000 13914 30005984
0.4 1000 85 400851
0.4 2000 437 1602069
0.4 3000 1033 3601905
0.4 4000 1942 6399087
0.4 5000 3191 9998304
0.4 6000 4936 14398483
0.4 7000 7349 19600938
0.4 8000 10539 25600349
0.4 9000 14189 32397089
0.4 10000 18500 40001037
0.5 1000 107 500749
0.5 2000 541 2001245
0.5 3000 1288 4502001
0.5 4000 2410 7999027
0.5 5000 4007 12496824
0.5 6000 6280 17994582
0.5 7000 9383 24500030
0.5 8000 13020 31998374
0.5 9000 17494 40497960
0.5 10000 22843 50003493
0.6 1000 128 601155
0.6 2000 642 2400839
0.6 3000 1532 5399999
0.6 4000 2882 9601466
0.6 5000 4860 15001904
0.6 6000 7563 21604368
0.6 7000 11164 29397961
0.6 8000 15524 38399429
0.6 9000 20808 48599569
0.6 10000 27359 59996253
0.7 1000 149 699631
0.7 2000 747 2799895
0.7 3000 1781 6298334
0.7 4000 3359 11199256
0.7 5000 5636 17499259
0.7 6000 8844 25198379
0.7 7000 12965 34303672
0.7 8000 17912 44798367
0.7 9000 24246 56701217
0.7 10000 32145 70006456
0.8 1000 172 799765
0.8 2000 849 3199357
0.8 3000 2037 7199128
0.8 4000 3847 12798330
0.8 5000 6384 19997956
0.8 6000 10108 28800881
0.8 7000 14655 39194395
0.8 8000 20345 51201040
0.8 9000 27907 64797977
0.8 10000 36373 79999116
0.9 1000 192 899675
0.9 2000 952 3598960
0.9 3000 2274 8100684
0.9 4000 4280 14400466
0.9 5000 7236 22499615
0.9 6000 11310 32399919
0.9 7000 16406 44102318
0.9 8000 23091 57599449
0.9 9000 31159 72903438
0.9 10000 41088 90000940
1 1000 202 1000000
1 2000 1057 4000000
1 3000 2567 9000000
1 4000 5191 16000000
1 5000 9492 25000000
1 6000 14444 36000000
1 7000 19452 49000000
1 8000 30906 64000000
1 9000 37229 81000000
1 10000 51739 100000000
