# Running Times: 10
# P   V   T(ms)   E
0.1 1000 22 100246
0.1 2000 103 399628
0.1 3000 250 899656
0.1 4000 468 1599143
0.1 5000 776 2500923
0.1 6000 1164 3601099
0.1 7000 1666 4895766
0.1 8000 2268 6396889
0.1 9000 3025 8099215
0.1 10000 3997 10003016
0.2 1000 44 200335
0.2 2000 212 799422
0.2 3000 517 1799005
0.2 4000 969 3200572
0.2 5000 1586 5003114
0.2 6000 2393 7196210
0.2 7000 3438 9803691
0.2 8000 4888 12801982
0.2 9000 6737 16193749
0.2 10000 8904 19996401
0.3 1000 64 299751
0.3 2000 325 1200064
0.3 3000 776 2700577
0.3 4000 1452 4801056
0.3 5000 2395 7505446
0.3 6000 3655 10801637
0.3 7000 5339 14696224
0.3 8000 7690 19199103
0.3 9000 10519 24302222
0.3 10000 13939 29998247
0.4 1000 86 400220
0.4 2000 433 1601076
0.4 3000 1035 3600767
0.4 4000 1945 6401789
0.4 5000 3187 10000482
0.4 6000 4934 14401292
0.4 7000 7326 19601828
0.4 8000 10513 25605441
0.4 9000 14214 32394132
0.4 10000 18466 39991467
0.5 1000 107 499813
0.5 2000 540 1999710
0.5 3000 1292 4500343
0.5 4000 2408 7999048
0.5 5000 4003 12502221
0.5 6000 6263 18004592
0.5 7000 9388 24496248
0.5 8000 13054 32003936
0.5 9000 17463 40495219
0.5 10000 22804 50003622
0.6 1000 128 599893
0.6 2000 642 2399818
0.6 3000 1540 5398125
0.6 4000 2883 9600242
0.6 5000 4842 14998460
0.6 6000 7566 21597905
0.6 7000 11180 29402452
0.6 8000 15616 38401270
0.6 9000 20762 48601662
0.6 10000 27466 60000043
0.7 1000 149 698909
0.7 2000 750 2801530
0.7 3000 1785 6299585
0.7 4000 3383 11202437
0.7 5000 5626 17502656
0.7 6000 8865 25196156
0.7 7000 12998 34303443
0.7 8000 17988 44802798
0.7 9000 24328 56705493
0.7 10000 32159 69993026
0.8 1000 171 799920
0.8 2000 851 3199237
0.8 3000 2034 7200399
0.8 4000 3840 12800245
0.8 5000 6425 20001771
0.8 6000 10134 28801406
0.8 7000 14685 39200333
0.8 8000 20445 51198128
0.8 9000 27957 64805625
0.8 10000 36627 80000425
0.9 1000 192 899975
0.9 2000 957 3598460
0.9 3000 2279 8099343
0.9 4000 4309 14401688
0.9 5000 7282 22500622
0.9 6000 11279 32397390
0.9 7000 16442 44098737
0.9 8000 23178 57598377
0.9 9000 31270 72896996
0.9 10000 41194 90007877
1 1000 202 1000000
1 2000 1058 4000000
1 3000 2576 9000000
1 4000 5266 16000000
1 5000 9380 25000000
1 6000 14089 36000000
1 7000 19722 49000000
1 8000 30652 64000000
1 9000 36979 81000000
1 10000 53499 100000000
