# Running Times: 10
# P   V   T(ms)   E
0.1 1000 129 100053
0.1 2000 207 399750
0.1 3000 464 900267
0.1 4000 820 1601314
0.1 5000 1280 2501178
0.1 6000 1838 3597937
0.1 7000 2500 4900911
0.1 8000 3262 6401245
0.1 9000 4124 8098243
0.1 10000 5090 10003000
0.2 1000 104 199911
0.2 2000 409 798262
0.2 3000 918 1799901
0.2 4000 1628 3199755
0.2 5000 2546 5003132
0.2 6000 3657 7201875
0.2 7000 4973 9801011
0.2 8000 6491 12797121
0.2 9000 8217 16206626
0.2 10000 10131 20004914
0.3 1000 155 300096
0.3 2000 611 1199620
0.3 3000 1373 2698770
0.3 4000 2438 4802206
0.3 5000 3803 7501006
0.3 6000 5468 10797815
0.3 7000 7441 14704532
0.3 8000 9706 19195397
0.3 9000 12287 24301621
0.3 10000 15176 30001188
0.4 1000 204 398833
0.4 2000 813 1600032
0.4 3000 1825 3598102
0.4 4000 3241 6400666
0.4 5000 5065 10008546
0.4 6000 7284 14401241
0.4 7000 9912 19600308
0.4 8000 12936 25602643
0.4 9000 16362 32398908
0.4 10000 20197 40001895
0.5 1000 257 500690
0.5 2000 1016 2002036
0.5 3000 2280 4499537
0.5 4000 4048 8000219
0.5 5000 6319 12500356
0.5 6000 9093 17999275
0.5 7000 12368 24491444
0.5 8000 16164 31995098
0.5 9000 20431 40490866
0.5 10000 25233 50006924
0.6 1000 305 599456
0.6 2000 1217 2401001
0.6 3000 2731 5402281
0.6 4000 4856 9598490
0.6 5000 7580 15002978
0.6 6000 10917 21601730
0.6 7000 14834 29396695
0.6 8000 19369 38396364
0.6 9000 24507 48597753
0.6 10000 30250 59996561
0.7 1000 364 698912
0.7 2000 1417 2800518
0.7 3000 3187 6299015
0.7 4000 5654 11200003
0.7 5000 8831 17501933
0.7 6000 12720 25196162
0.7 7000 17301 34299395
0.7 8000 22587 44800268
0.7 9000 28582 56697671
0.7 10000 35290 70004792
0.8 1000 425 800551
0.8 2000 1619 3198429
0.8 3000 3638 7199402
0.8 4000 6464 12799226
0.8 5000 10100 19998247
0.8 6000 14520 28798642
0.8 7000 19765 39198059
0.8 8000 25808 51199123
0.8 9000 32670 64800381
0.8 10000 40314 80003184
0.9 1000 484 900278
0.9 2000 1821 3599260
0.9 3000 4094 8100642
0.9 4000 7270 14399159
0.9 5000 11353 22501371
0.9 6000 16352 32400250
0.9 7000 22234 44098135
0.9 8000 29030 57603832
0.9 9000 36717 72898226
0.9 10000 45338 90004424
1 1000 571 1000000
1 2000 2024 4000000
1 3000 4545 9000000
1 4000 8074 16000000
1 5000 12613 25000000
1 6000 18161 36000000
1 7000 24694 49000000
1 8000 32241 64000000
1 9000 40798 81000000
1 10000 50350 100000000
