# Running Times: 10
# P   V   T(ms)   E
0.1 1000 128 99350
0.1 2000 207 399311
0.1 3000 462 898502
0.1 4000 819 1597687
0.1 5000 1277 2500920
0.1 6000 1837 3600769
0.1 7000 2498 4900467
0.1 8000 3256 6399993
0.1 9000 4119 8092824
0.1 10000 5082 9994780
0.2 1000 103 199556
0.2 2000 409 799713
0.2 3000 918 1800551
0.2 4000 1627 3201036
0.2 5000 2538 4997789
0.2 6000 3651 7197470
0.2 7000 4967 9793120
0.2 8000 6485 12796449
0.2 9000 8210 16199544
0.2 10000 10123 19999006
0.3 1000 155 300240
0.3 2000 612 1200392
0.3 3000 1371 2700023
0.3 4000 2431 4796121
0.3 5000 3798 7498128
0.3 6000 5463 10801625
0.3 7000 7437 14701302
0.3 8000 9704 19201140
0.3 9000 12273 24284268
0.3 10000 15156 30004034
0.4 1000 204 399886
0.4 2000 813 1599976
0.4 3000 1827 3603135
0.4 4000 3240 6401222
0.4 5000 5054 9998236
0.4 6000 7275 14399723
0.4 7000 9902 19603136
0.4 8000 12921 25595111
0.4 9000 16355 32395538
0.4 10000 20181 39999495
0.5 1000 255 500213
0.5 2000 1014 1999178
0.5 3000 2278 4499981
0.5 4000 4044 7996473
0.5 5000 6312 12499258
0.5 6000 9092 17996212
0.5 7000 12367 24505840
0.5 8000 16143 31997422
0.5 9000 20437 40509220
0.5 10000 25221 50006780
0.6 1000 305 599797
0.6 2000 1216 2399745
0.6 3000 2729 5398712
0.6 4000 4850 9600195
0.6 5000 7569 14999649
0.6 6000 10895 21597882
0.6 7000 14831 29401861
0.6 8000 19364 38402227
0.6 9000 24491 48601853
0.6 10000 30239 60002115
0.7 1000 359 699936
0.7 2000 1418 2800886
0.7 3000 3185 6299316
0.7 4000 5657 11202776
0.7 5000 8832 17501839
0.7 6000 12711 25200638
0.7 7000 17297 34302171
0.7 8000 22572 44796818
0.7 9000 28567 56700850
0.7 10000 35291 69999200
0.8 1000 424 799789
0.8 2000 1620 3200697
0.8 3000 3637 7201418
0.8 4000 6458 12797904
0.8 5000 10085 19995863
0.8 6000 14518 28804750
0.8 7000 19758 39203748
0.8 8000 25789 51198677
0.8 9000 32682 64799367
0.8 10000 40337 80009091
0.9 1000 484 899958
0.9 2000 1822 3599880
0.9 3000 4092 8099841
0.9 4000 7275 14399646
0.9 5000 11357 22501571
0.9 6000 16342 32399055
0.9 7000 22212 44100375
0.9 8000 29009 57598210
0.9 9000 36708 72897949
0.9 10000 45300 89998810
1 1000 568 1000000
1 2000 2024 4000000
1 3000 4543 9000000
1 4000 8068 16000000
1 5000 12602 25000000
1 6000 18145 36000000
1 7000 24682 49000000
1 8000 32229 64000000
1 9000 40778 81000000
1 10000 50337 100000000
