# Running Times: 10
# P   V   T(ms)   E
0.1 1000 129 99627
0.1 2000 207 399598
0.1 3000 463 898420
0.1 4000 819 1599601
0.1 5000 1279 2498341
0.1 6000 1837 3600203
0.1 7000 2497 4901702
0.1 8000 3262 6402720
0.1 9000 4123 8097147
0.1 10000 5084 10000287
0.2 1000 104 199664
0.2 2000 410 800647
0.2 3000 919 1800274
0.2 4000 1628 3199926
0.2 5000 2541 5003890
0.2 6000 3655 7198462
0.2 7000 4967 9796313
0.2 8000 6484 12801539
0.2 9000 8199 16193474
0.2 10000 10125 19997961
0.3 1000 155 300497
0.3 2000 612 1200448
0.3 3000 1373 2701191
0.3 4000 2434 4801344
0.3 5000 3801 7503150
0.3 6000 5467 10798512
0.3 7000 7438 14698897
0.3 8000 9708 19197333
0.3 9000 12291 24303692
0.3 10000 15155 30001839
0.4 1000 205 400534
0.4 2000 814 1600180
0.4 3000 1825 3601819
0.4 4000 3242 6399634
0.4 5000 5055 9999920
0.4 6000 7279 14402914
0.4 7000 9907 19593268
0.4 8000 12924 25598450
0.4 9000 16358 32391201
0.4 10000 20193 40001566
0.5 1000 255 499416
0.5 2000 1016 2000501
0.5 3000 2282 4501487
0.5 4000 4046 8000089
0.5 5000 6320 12500640
0.5 6000 9091 17996457
0.5 7000 12374 24505507
0.5 8000 16151 32002313
0.5 9000 20432 40504030
0.5 10000 25210 50002988
0.6 1000 306 599927
0.6 2000 1218 2400499
0.6 3000 2733 5399946
0.6 4000 4855 9600887
0.6 5000 7580 15002244
0.6 6000 10904 21595523
0.6 7000 14835 29395267
0.6 8000 19392 38401158
0.6 9000 24525 48589639
0.6 10000 30275 59997261
0.7 1000 366 700364
0.7 2000 1418 2801102
0.7 3000 3188 6300294
0.7 4000 5660 11198705
0.7 5000 8837 17497470
0.7 6000 12719 25201329
0.7 7000 17310 34296019
0.7 8000 22605 44799521
0.7 9000 28621 56715910
0.7 10000 35299 69999637
0.8 1000 425 800244
0.8 2000 1619 3198403
0.8 3000 3641 7200650
0.8 4000 6468 12800947
0.8 5000 10098 20002439
0.8 6000 14548 28800637
0.8 7000 19776 39196721
0.8 8000 25852 51201399
0.8 9000 32677 64803818
0.8 10000 40340 80004575
0.9 1000 484 900047
0.9 2000 1822 3600469
0.9 3000 4093 8099223
0.9 4000 7275 14398469
0.9 5000 11359 22494506
0.9 6000 16350 32399050
0.9 7000 22249 44103099
0.9 8000 29038 57600068
0.9 9000 36754 72902977
0.9 10000 45358 89997364
1 1000 570 1000000
1 2000 2024 4000000
1 3000 4549 9000000
1 4000 8074 16000000
1 5000 12618 25000000
1 6000 18160 36000000
1 7000 24713 49000000
1 8000 32259 64000000
1 9000 40843 81000000
1 10000 50384 100000000
