# Running Times: 10
# P   V   T(ms)   E
0.1 1000 129 100165
0.1 2000 207 398591
0.1 3000 463 899807
0.1 4000 821 1600653
0.1 5000 1279 2499464
0.1 6000 1840 3599596
0.1 7000 2502 4899719
0.1 8000 3261 6401842
0.1 9000 4124 8098244
0.1 10000 5092 10002763
0.2 1000 104 200325
0.2 2000 410 799814
0.2 3000 917 1798780
0.2 4000 1628 3198045
0.2 5000 2542 5001395
0.2 6000 3661 7200095
0.2 7000 4972 9801096
0.2 8000 6490 12798828
0.2 9000 8210 16196736
0.2 10000 10141 19996835
0.3 1000 154 299726
0.3 2000 612 1200077
0.3 3000 1373 2701267
0.3 4000 2435 4799972
0.3 5000 3802 7502275
0.3 6000 5469 10798051
0.3 7000 7436 14692607
0.3 8000 9718 19197897
0.3 9000 12289 24296294
0.3 10000 15168 29996334
0.4 1000 206 400023
0.4 2000 813 1599051
0.4 3000 1826 3599152
0.4 4000 3243 6399851
0.4 5000 5062 10003287
0.4 6000 7281 14401213
0.4 7000 9907 19598350
0.4 8000 12937 25598773
0.4 9000 16379 32403048
0.4 10000 20207 39997944
0.5 1000 255 499311
0.5 2000 1015 2000297
0.5 3000 2279 4498989
0.5 4000 4050 7999826
0.5 5000 6319 12496867
0.5 6000 9097 17998295
0.5 7000 12377 24502340
0.5 8000 16161 31996759
0.5 9000 20448 40499356
0.5 10000 25230 50006364
0.6 1000 306 599832
0.6 2000 1217 2398706
0.6 3000 2731 5399219
0.6 4000 4855 9600472
0.6 5000 7572 14996727
0.6 6000 10904 21602946
0.6 7000 14835 29390748
0.6 8000 19376 38393204
0.6 9000 24507 48595215
0.6 10000 30263 60004214
0.7 1000 361 700174
0.7 2000 1419 2801121
0.7 3000 3185 6299462
0.7 4000 5660 11201223
0.7 5000 8837 17498635
0.7 6000 12712 25194004
0.7 7000 17296 34302112
0.7 8000 22590 44806462
0.7 9000 28580 56706429
0.7 10000 35302 69997831
0.8 1000 424 799276
0.8 2000 1620 3200652
0.8 3000 3643 7202066
0.8 4000 6466 12800813
0.8 5000 10097 20002770
0.8 6000 14532 28797980
0.8 7000 19777 39201601
0.8 8000 25825 51201970
0.8 9000 32680 64794691
0.8 10000 40330 80000336
0.9 1000 485 899756
0.9 2000 1822 3600477
0.9 3000 4093 8099366
0.9 4000 7274 14399274
0.9 5000 11356 22501276
0.9 6000 16349 32400487
0.9 7000 22211 44096863
0.9 8000 29031 57599403
0.9 9000 36716 72895669
0.9 10000 45331 90002062
1 1000 569 1000000
1 2000 2025 4000000
1 3000 4544 9000000
1 4000 8070 16000000
1 5000 12610 25000000
1 6000 18150 36000000
1 7000 24691 49000000
1 8000 32237 64000000
1 9000 40777 81000000
1 10000 50332 100000000
