# Running Times: 10
# P   V   T(ms)   E
0.1 1000 129 100320
0.1 2000 207 399993
0.1 3000 463 899444
0.1 4000 818 1599219
0.1 5000 1277 2498886
0.1 6000 1838 3601536
0.1 7000 2495 4900164
0.1 8000 3259 6401382
0.1 9000 4121 8098300
0.1 10000 5082 9998111
0.2 1000 104 200006
0.2 2000 410 799982
0.2 3000 917 1800049
0.2 4000 1629 3202249
0.2 5000 2539 5002500
0.2 6000 3651 7199265
0.2 7000 4967 9799837
0.2 8000 6483 12797162
0.2 9000 8198 16195795
0.2 10000 10118 19996009
0.3 1000 154 300103
0.3 2000 612 1201619
0.3 3000 1371 2700292
0.3 4000 2433 4800843
0.3 5000 3796 7497414
0.3 6000 5464 10802609
0.3 7000 7433 14696435
0.3 8000 9709 19204419
0.3 9000 12274 24291356
0.3 10000 15150 29998726
0.4 1000 205 400559
0.4 2000 812 1599771
0.4 3000 1822 3597198
0.4 4000 3240 6399034
0.4 5000 5061 10004026
0.4 6000 7287 14404677
0.4 7000 9911 19603445
0.4 8000 12941 25603054
0.4 9000 16365 32398689
0.4 10000 20213 40006237
0.5 1000 255 499672
0.5 2000 1015 1998855
0.5 3000 2280 4499262
0.5 4000 4048 7998084
0.5 5000 6320 12498030
0.5 6000 9100 18001091
0.5 7000 12381 24500160
0.5 8000 16166 32000302
0.5 9000 20443 40494550
0.5 10000 25225 50010726
0.6 1000 306 600399
0.6 2000 1217 2400844
0.6 3000 2731 5399816
0.6 4000 4852 9599998
0.6 5000 7571 15000936
0.6 6000 10905 21596990
0.6 7000 14842 29401982
0.6 8000 19373 38399470
0.6 9000 24517 48594126
0.6 10000 30249 60002538
0.7 1000 365 700348
0.7 2000 1417 2799543
0.7 3000 3188 6299844
0.7 4000 5655 11199382
0.7 5000 8844 17499075
0.7 6000 12716 25196636
0.7 7000 17296 34298343
0.7 8000 22603 44803323
0.7 9000 28605 56705797
0.7 10000 35274 70003274
0.8 1000 425 800619
0.8 2000 1619 3199948
0.8 3000 3636 7198535
0.8 4000 6469 12800109
0.8 5000 10093 20002193
0.8 6000 14534 28799435
0.8 7000 20358 39205054
0.8 8000 26438 51195400
0.8 9000 33892 64800665
0.8 10000 40300 80002956
0.9 1000 485 899994
0.9 2000 1824 3599523
0.9 3000 4091 8100778
0.9 4000 7270 14400822
0.9 5000 11349 22497603
0.9 6000 16337 32399510
0.9 7000 22266 44100216
0.9 8000 29026 57602540
0.9 9000 36725 72893874
0.9 10000 45326 89999837
1 1000 572 1000000
1 2000 2022 4000000
1 3000 4546 9000000
1 4000 8073 16000000
1 5000 12612 25000000
1 6000 18143 36000000
1 7000 24693 49000000
1 8000 32236 64000000
1 9000 40810 81000000
1 10000 50360 100000000
