# Running Times: 10
# P   V   T(ms)   E
0.1 1000 127 99692
0.1 2000 280 401378
0.1 3000 463 901818
0.1 4000 822 1600662
0.1 5000 1278 2500325
0.1 6000 1839 3598928
0.1 7000 2495 4897549
0.1 8000 3262 6398005
0.1 9000 4127 8104613
0.1 10000 5085 9998681
0.2 1000 107 200139
0.2 2000 409 799765
0.2 3000 917 1797138
0.2 4000 1627 3199489
0.2 5000 2540 5001125
0.2 6000 3653 7201709
0.2 7000 4970 9804855
0.2 8000 6486 12801575
0.2 9000 8203 16200792
0.2 10000 10127 20000248
0.3 1000 165 299993
0.3 2000 612 1200391
0.3 3000 1372 2701536
0.3 4000 2432 4797030
0.3 5000 3807 7499419
0.3 6000 5462 10793552
0.3 7000 7437 14705626
0.3 8000 9705 19196339
0.3 9000 12279 24303758
0.3 10000 15158 30002199
0.4 1000 238 400626
0.4 2000 813 1598957
0.4 3000 1825 3602011
0.4 4000 3239 6398456
0.4 5000 5054 9997861
0.4 6000 7279 14399345
0.4 7000 9908 19606291
0.4 8000 12928 25599001
0.4 9000 16355 32402313
0.4 10000 20196 39998669
0.5 1000 300 499816
0.5 2000 1013 1998731
0.5 3000 2277 4499984
0.5 4000 4045 8001834
0.5 5000 6313 12496663
0.5 6000 9093 18002410
0.5 7000 12368 24501859
0.5 8000 16164 32003380
0.5 9000 20424 40495943
0.5 10000 25222 50003058
0.6 1000 305 599625
0.6 2000 1217 2401205
0.6 3000 2730 5397542
0.6 4000 4849 9598090
0.6 5000 7571 15001576
0.6 6000 10901 21602843
0.6 7000 14837 29399073
0.6 8000 19356 38401202
0.6 9000 24522 48608374
0.6 10000 30264 59997020
0.7 1000 364 699396
0.7 2000 1419 2800595
0.7 3000 3188 6302982
0.7 4000 5660 11198126
0.7 5000 8847 17499545
0.7 6000 12729 25200106
0.7 7000 17316 34301824
0.7 8000 22605 44799741
0.7 9000 28606 56697496
0.7 10000 35312 70001996
0.8 1000 425 800384
0.8 2000 1620 3200282
0.8 3000 3641 7198497
0.8 4000 6469 12797860
0.8 5000 10097 19998018
0.8 6000 14536 28802300
0.8 7000 19784 39199069
0.8 8000 25821 51194906
0.8 9000 32686 64802461
0.8 10000 40298 79998984
0.9 1000 483 899707
0.9 2000 1820 3599745
0.9 3000 4089 8101070
0.9 4000 7266 14399940
0.9 5000 11345 22499745
0.9 6000 16332 32399805
0.9 7000 22239 44098592
0.9 8000 29049 57601716
0.9 9000 36761 72899300
0.9 10000 45354 89997726
1 1000 569 1000000
1 2000 2023 4000000
1 3000 4548 9000000
1 4000 8079 16000000
1 5000 12612 25000000
1 6000 18155 36000000
1 7000 24718 49000000
1 8000 32273 64000000
1 9000 40828 81000000
1 10000 50400 100000000
