# Running Times: 10
# P   V   T(ms)   E
0.1 1000 128 100316
0.1 2000 207 399589
0.1 3000 463 899406
0.1 4000 820 1602531
0.1 5000 1278 2501880
0.1 6000 1838 3601182
0.1 7000 2494 4899061
0.1 8000 3256 6400513
0.1 9000 4121 8101566
0.1 10000 5083 9999373
0.2 1000 104 200500
0.2 2000 410 799803
0.2 3000 916 1799127
0.2 4000 1626 3197634
0.2 5000 2540 4998341
0.2 6000 3649 7194952
0.2 7000 4967 9799190
0.2 8000 6486 12799226
0.2 9000 8202 16200145
0.2 10000 10124 19998792
0.3 1000 154 299979
0.3 2000 610 1198974
0.3 3000 1371 2699794
0.3 4000 2432 4797204
0.3 5000 3800 7505750
0.3 6000 5465 10799240
0.3 7000 7437 14702775
0.3 8000 9707 19200481
0.3 9000 12275 24292175
0.3 10000 15171 30007982
0.4 1000 206 400197
0.4 2000 813 1600447
0.4 3000 1824 3598422
0.4 4000 3240 6401745
0.4 5000 5053 9999635
0.4 6000 7278 14399214
0.4 7000 9899 19599660
0.4 8000 12924 25597615
0.4 9000 16349 32388878
0.4 10000 20182 39998492
0.5 1000 255 500046
0.5 2000 1014 1999403
0.5 3000 2278 4499566
0.5 4000 4046 8002238
0.5 5000 6315 12497738
0.5 6000 9088 18001496
0.5 7000 12373 24503663
0.5 8000 16149 32004819
0.5 9000 20424 40499649
0.5 10000 25217 50006625
0.6 1000 306 600543
0.6 2000 1216 2400347
0.6 3000 2731 5401656
0.6 4000 4849 9599256
0.6 5000 7570 14996653
0.6 6000 10898 21593712
0.6 7000 14830 29402725
0.6 8000 19366 38403366
0.6 9000 24497 48595870
0.6 10000 30244 60003764
0.7 1000 364 699661
0.7 2000 1417 2799840
0.7 3000 3184 6297652
0.7 4000 6156 11200260
0.7 5000 8915 17498494
0.7 6000 12888 25198138
0.7 7000 17294 34300183
0.7 8000 22574 44794759
0.7 9000 28567 56702858
0.7 10000 35256 69992788
0.8 1000 424 799370
0.8 2000 1620 3200401
0.8 3000 3636 7199418
0.8 4000 6464 12801212
0.8 5000 10090 20001557
0.8 6000 14518 28796980
0.8 7000 19755 39205728
0.8 8000 25800 51201308
0.8 9000 32639 64805369
0.8 10000 40276 79999691
0.9 1000 484 900389
0.9 2000 1821 3600355
0.9 3000 4089 8099724
0.9 4000 7265 14399449
0.9 5000 11346 22500125
0.9 6000 16331 32396052
0.9 7000 22230 44100506
0.9 8000 29006 57600191
0.9 9000 36729 72898099
0.9 10000 45313 89995730
1 1000 568 1000000
1 2000 2021 4000000
1 3000 4543 9000000
1 4000 8070 16000000
1 5000 12602 25000000
1 6000 18139 36000000
1 7000 24680 49000000
1 8000 32229 64000000
1 9000 40769 81000000
1 10000 50321 100000000
