# Running Times: 10
# P   V   T(ms)   E
0.1 1000 66 100098
0.1 2000 257 400070
0.1 3000 576 900640
0.1 4000 1017 1600509
0.1 5000 1585 2499344
0.1 6000 2278 3598711
0.1 7000 3100 4897772
0.1 8000 4065 6398052
0.1 9000 5130 8097238
0.1 10000 6326 10006746
0.2 1000 146 200611
0.2 2000 508 799202
0.2 3000 1142 1799553
0.2 4000 2026 3201893
0.2 5000 3163 4998469
0.2 6000 4570 7199225
0.2 7000 6246 9800043
0.2 8000 8148 12798424
0.2 9000 10186 16198651
0.2 10000 13056 20000110
0.3 1000 215 299105
0.3 2000 795 1201245
0.3 3000 1768 2699784
0.3 4000 3021 4797714
0.3 5000 4726 7500860
0.3 6000 6788 10800333
0.3 7000 9234 14698877
0.3 8000 12053 19203045
0.3 9000 15248 24300982
0.3 10000 18832 30004882
0.4 1000 255 400895
0.4 2000 1063 1599046
0.4 3000 2266 3601173
0.4 4000 4021 6396922
0.4 5000 6279 9999922
0.4 6000 9037 14405795
0.4 7000 12291 19596789
0.4 8000 16063 25608130
0.4 9000 20321 32402378
0.4 10000 25069 40004184
0.5 1000 352 499309
0.5 2000 1265 2000171
0.5 3000 2857 4501308
0.5 4000 5025 8001763
0.5 5000 7843 12496532
0.5 6000 11303 18005571
0.5 7000 15355 24494646
0.5 8000 20062 32000848
0.5 9000 25386 40509153
0.5 10000 31307 50005370
0.6 1000 445 599905
0.6 2000 1512 2399287
0.6 3000 3409 5401367
0.6 4000 6092 9599919
0.6 5000 8754 15004794
0.6 6000 10961 21600143
0.6 7000 15015 29398589
0.6 8000 19378 38404668
0.6 9000 24520 48598563
0.6 10000 30262 60010066
0.7 1000 424 699677
0.7 2000 1417 2801057
0.7 3000 3186 6299627
0.7 4000 5656 11197409
0.7 5000 8836 17495676
0.7 6000 12712 25194182
0.7 7000 17314 34303879
0.7 8000 22605 44802984
0.7 9000 28613 56693744
0.7 10000 35286 69997893
0.8 1000 422 799965
0.8 2000 1621 3200268
0.8 3000 3639 7201250
0.8 4000 6462 12798126
0.8 5000 10102 20000475
0.8 6000 14533 28796208
0.8 7000 19772 39200021
0.8 8000 25810 51196376
0.8 9000 32665 64799509
0.8 10000 40312 79997281
0.9 1000 482 900312
0.9 2000 1824 3600144
0.9 3000 4097 8101177
0.9 4000 7269 14399091
0.9 5000 11357 22501685
0.9 6000 16337 32399321
0.9 7000 22250 44099821
0.9 8000 29042 57601514
0.9 9000 36746 72898611
0.9 10000 45349 89995956
1 1000 567 1000000
1 2000 2025 4000000
1 3000 4549 9000000
1 4000 8074 16000000
1 5000 12611 25000000
1 6000 18162 36000000
1 7000 24701 49000000
1 8000 32254 64000000
1 9000 40819 81000000
1 10000 50365 100000000
