# Running Times: 10
# P   V   T(ms)   E
0.1 1000 2 99664
0.1 2000 10 399518
0.1 3000 23 899355
0.1 4000 40 1601531
0.1 5000 62 2500710
0.1 6000 88 3597647
0.1 7000 121 4899795
0.1 8000 157 6398694
0.1 9000 197 8100541
0.1 10000 242 9998766
0.2 1000 5 200044
0.2 2000 20 799484
0.2 3000 44 1799553
0.2 4000 78 3202511
0.2 5000 121 5002118
0.2 6000 173 7197940
0.2 7000 235 9803142
0.2 8000 306 12801959
0.2 9000 387 16198092
0.2 10000 477 20001043
0.3 1000 7 300378
0.3 2000 29 1201414
0.3 3000 65 2698120
0.3 4000 115 4799382
0.3 5000 179 7494886
0.3 6000 257 10800362
0.3 7000 353 14697008
0.3 8000 458 19194244
0.3 9000 577 24294824
0.3 10000 713 29995927
0.4 1000 10 400161
0.4 2000 39 1600944
0.4 3000 87 3598594
0.4 4000 153 6398383
0.4 5000 240 10001261
0.4 6000 343 14397234
0.4 7000 466 19599803
0.4 8000 607 25600454
0.4 9000 770 32405544
0.4 10000 949 40007543
0.5 1000 12 500763
0.5 2000 49 1999285
0.5 3000 108 4500824
0.5 4000 191 8004011
0.5 5000 297 12500639
0.5 6000 428 18001540
0.5 7000 581 24498372
0.5 8000 758 31998332
0.5 9000 960 40502172
0.5 10000 1185 50006664
0.6 1000 15 600105
0.6 2000 58 2399546
0.6 3000 129 5400840
0.6 4000 229 9600792
0.6 5000 357 14998722
0.6 6000 513 21600001
0.6 7000 699 29399701
0.6 8000 910 38394431
0.6 9000 1153 48600512
0.6 10000 1422 60002217
0.7 1000 17 700057
0.7 2000 67 2800233
0.7 3000 150 6300147
0.7 4000 269 11197610
0.7 5000 415 17501477
0.7 6000 599 25195562
0.7 7000 813 34300305
0.7 8000 1061 44797671
0.7 9000 1344 56703476
0.7 10000 1657 70009393
0.8 1000 20 800072
0.8 2000 77 3199410
0.8 3000 172 7200945
0.8 4000 307 12800727
0.8 5000 477 19998584
0.8 6000 684 28798712
0.8 7000 929 39198907
0.8 8000 1211 51202667
0.8 9000 1533 64798913
0.8 10000 1896 80000529
0.9 1000 22 900149
0.9 2000 87 3599700
0.9 3000 193 8099983
0.9 4000 342 14399552
0.9 5000 533 22501819
0.9 6000 768 32399497
0.9 7000 1043 44101094
0.9 8000 1362 57598459
0.9 9000 1733 72900524
0.9 10000 2127 90001233
1 1000 24 1000000
1 2000 96 4000000
1 3000 214 9000000
1 4000 381 16000000
1 5000 594 25000000
1 6000 856 36000000
1 7000 1163 49000000
1 8000 1513 64000000
1 9000 1917 81000000
1 10000 2368 100000000
