# Running Times: 10
# P   V   T(ms)   E
0.1 1000 2 99913
0.1 2000 10 401104
0.1 3000 22 898422
0.1 4000 40 1599403
0.1 5000 62 2500781
0.1 6000 88 3598808
0.1 7000 120 4899506
0.1 8000 154 6399280
0.1 9000 196 8095853
0.1 10000 243 9999158
0.2 1000 5 200190
0.2 2000 20 800472
0.2 3000 44 1800734
0.2 4000 78 3200179
0.2 5000 120 4999570
0.2 6000 173 7197816
0.2 7000 235 9801341
0.2 8000 306 12795064
0.2 9000 387 16206227
0.2 10000 476 20001562
0.3 1000 7 300305
0.3 2000 30 1200894
0.3 3000 65 2699008
0.3 4000 115 4800315
0.3 5000 180 7498316
0.3 6000 257 10800729
0.3 7000 353 14700563
0.3 8000 456 19193866
0.3 9000 578 24299436
0.3 10000 713 29994589
0.4 1000 10 399644
0.4 2000 39 1600427
0.4 3000 87 3598778
0.4 4000 152 6397310
0.4 5000 240 10003053
0.4 6000 343 14399706
0.4 7000 468 19599509
0.4 8000 610 25601717
0.4 9000 772 32404625
0.4 10000 949 39994877
0.5 1000 12 500648
0.5 2000 48 1999306
0.5 3000 108 4497818
0.5 4000 191 8000621
0.5 5000 298 12502539
0.5 6000 428 17997779
0.5 7000 582 24502900
0.5 8000 759 32002499
0.5 9000 961 40506358
0.5 10000 1185 49996196
0.6 1000 14 599735
0.6 2000 58 2398826
0.6 3000 129 5400159
0.6 4000 229 9597062
0.6 5000 356 14997858
0.6 6000 513 21604074
0.6 7000 697 29398270
0.6 8000 909 38400578
0.6 9000 1153 48598502
0.6 10000 1425 60003572
0.7 1000 17 699862
0.7 2000 68 2800903
0.7 3000 150 6298218
0.7 4000 267 11200727
0.7 5000 416 17501044
0.7 6000 598 25197916
0.7 7000 815 34302445
0.7 8000 1063 44800182
0.7 9000 1346 56706712
0.7 10000 1659 70007730
0.8 1000 19 800077
0.8 2000 77 3199801
0.8 3000 172 7200342
0.8 4000 304 12800038
0.8 5000 474 19999888
0.8 6000 684 28803670
0.8 7000 928 39197075
0.8 8000 1213 51203132
0.8 9000 1538 64807541
0.8 10000 1891 80003740
0.9 1000 22 900186
0.9 2000 87 3600024
0.9 3000 193 8099773
0.9 4000 343 14400713
0.9 5000 533 22498259
0.9 6000 767 32397814
0.9 7000 1046 44099301
0.9 8000 1365 57602051
0.9 9000 1729 72899696
0.9 10000 2129 89999389
1 1000 24 1000000
1 2000 96 4000000
1 3000 214 9000000
1 4000 379 16000000
1 5000 595 25000000
1 6000 853 36000000
1 7000 1160 49000000
1 8000 1514 64000000
1 9000 1914 81000000
1 10000 2364 100000000
