# Running Times: 10
# P   V   T(ms)   E
0.1 1000 2 99915
0.1 2000 10 400470
0.1 3000 23 901694
0.1 4000 40 1600782
0.1 5000 62 2501445
0.1 6000 92 3599861
0.1 7000 128 4899733
0.1 8000 163 6401706
0.1 9000 203 8099823
0.1 10000 252 9999569
0.2 1000 5 200700
0.2 2000 23 800863
0.2 3000 61 1801245
0.2 4000 95 3203100
0.2 5000 128 4999719
0.2 6000 183 7201878
0.2 7000 237 9802846
0.2 8000 310 12799826
0.2 9000 429 16198004
0.2 10000 490 19997764
0.3 1000 8 299914
0.3 2000 31 1199196
0.3 3000 73 2700868
0.3 4000 129 4801295
0.3 5000 206 7498400
0.3 6000 280 10805262
0.3 7000 378 14698401
0.3 8000 491 19205121
0.3 9000 589 24295041
0.3 10000 751 30001223
0.4 1000 10 400208
0.4 2000 46 1599485
0.4 3000 98 3599570
0.4 4000 165 6402948
0.4 5000 259 9999729
0.4 6000 392 14403778
0.4 7000 478 19604532
0.4 8000 661 25607124
0.4 9000 860 32398424
0.4 10000 1013 40000907
0.5 1000 12 498727
0.5 2000 67 2000017
0.5 3000 122 4499571
0.5 4000 196 7999670
0.5 5000 330 12495121
0.5 6000 484 17998079
0.5 7000 613 24498407
0.5 8000 853 31999396
0.5 9000 1038 40501288
0.5 10000 1311 49998720
0.6 1000 15 599927
0.6 2000 67 2399684
0.6 3000 132 5400156
0.6 4000 244 9598483
0.6 5000 390 15000474
0.6 6000 534 21598505
0.6 7000 705 29397854
0.6 8000 951 38400237
0.6 9000 1245 48600351
0.6 10000 1501 59999495
0.7 1000 17 700473
0.7 2000 76 2799152
0.7 3000 153 6300656
0.7 4000 296 11199920
0.7 5000 419 17501999
0.7 6000 657 25199048
0.7 7000 970 34302680
0.7 8000 1107 44798947
0.7 9000 1396 56700616
0.7 10000 1751 70001588
0.8 1000 24 799524
0.8 2000 89 3199445
0.8 3000 200 7197743
0.8 4000 344 12797383
0.8 5000 513 20000453
0.8 6000 794 28801703
0.8 7000 1054 39198746
0.8 8000 1212 51203744
0.8 9000 1533 64795901
0.8 10000 1892 79995530
0.9 1000 22 899921
0.9 2000 87 3600735
0.9 3000 194 8099582
0.9 4000 343 14399520
0.9 5000 534 22501255
0.9 6000 769 32403024
0.9 7000 1045 44096830
0.9 8000 1363 57600866
0.9 9000 1724 72900206
0.9 10000 2127 90000406
1 1000 24 1000000
1 2000 96 4000000
1 3000 214 9000000
1 4000 380 16000000
1 5000 594 25000000
1 6000 853 36000000
1 7000 1158 49000000
1 8000 1513 64000000
1 9000 1918 81000000
1 10000 2365 100000000
