# Running Times: 10
# P   V   T(ms)   E
0.1 1000 2 99925
0.1 2000 10 400125
0.1 3000 23 899451
0.1 4000 40 1600852
0.1 5000 62 2500486
0.1 6000 89 3598748
0.1 7000 120 4900315
0.1 8000 155 6398303
0.1 9000 195 8096593
0.1 10000 242 9997470
0.2 1000 5 200351
0.2 2000 20 799410
0.2 3000 44 1800469
0.2 4000 78 3199376
0.2 5000 121 5000371
0.2 6000 173 7202110
0.2 7000 235 9799963
0.2 8000 308 12799783
0.2 9000 387 16202062
0.2 10000 477 19994560
0.3 1000 7 300058
0.3 2000 30 1201723
0.3 3000 66 2701077
0.3 4000 115 4799412
0.3 5000 180 7501548
0.3 6000 258 10797729
0.3 7000 351 14705017
0.3 8000 458 19201271
0.3 9000 579 24298802
0.3 10000 716 29993770
0.4 1000 10 400364
0.4 2000 41 1600615
0.4 3000 86 3601652
0.4 4000 153 6400790
0.4 5000 239 10000055
0.4 6000 342 14405731
0.4 7000 467 19597099
0.4 8000 608 25604786
0.4 9000 769 32405258
0.4 10000 949 39994629
0.5 1000 12 499939
0.5 2000 48 1999387
0.5 3000 108 4500985
0.5 4000 191 8001426
0.5 5000 297 12502104
0.5 6000 427 17994070
0.5 7000 581 24501933
0.5 8000 759 31999515
0.5 9000 961 40496442
0.5 10000 1186 49998918
0.6 1000 14 599935
0.6 2000 58 2400977
0.6 3000 129 5400673
0.6 4000 228 9600149
0.6 5000 359 14999612
0.6 6000 513 21597061
0.6 7000 698 29401229
0.6 8000 910 38397601
0.6 9000 1151 48600332
0.6 10000 1422 60000533
0.7 1000 17 699147
0.7 2000 67 2799304
0.7 3000 151 6300073
0.7 4000 266 11199348
0.7 5000 417 17499778
0.7 6000 598 25198605
0.7 7000 812 34299272
0.7 8000 1060 44795119
0.7 9000 1344 56703746
0.7 10000 1664 69996495
0.8 1000 19 799740
0.8 2000 77 3200618
0.8 3000 173 7199367
0.8 4000 304 12797356
0.8 5000 476 19998318
0.8 6000 684 28797654
0.8 7000 931 39202652
0.8 8000 1216 51198131
0.8 9000 1539 64795407
0.8 10000 1895 80010522
0.9 1000 21 900373
0.9 2000 86 3600755
0.9 3000 193 8099402
0.9 4000 342 14402215
0.9 5000 534 22495900
0.9 6000 770 32401610
0.9 7000 1044 44096226
0.9 8000 1366 57600402
0.9 9000 1729 72901691
0.9 10000 2129 90001280
1 1000 24 1000000
1 2000 96 4000000
1 3000 214 9000000
1 4000 381 16000000
1 5000 593 25000000
1 6000 855 36000000
1 7000 1159 49000000
1 8000 1514 64000000
1 9000 1920 81000000
1 10000 2365 100000000
