# Running Times: 10
# P   V   T(ms)   E
0.1 1000 3 99872
0.1 2000 14 400040
0.1 3000 34 901494
0.1 4000 69 1601348
0.1 5000 105 2499968
0.1 6000 160 3602894
0.1 7000 155 4899462
0.1 8000 200 6396334
0.1 9000 246 8102909
0.1 10000 301 9999951
0.2 1000 6 200169
0.2 2000 25 801353
0.2 3000 55 1801482
0.2 4000 97 3202550
0.2 5000 151 4999164
0.2 6000 215 7199468
0.2 7000 296 9803828
0.2 8000 482 12800691
0.2 9000 543 16197980
0.2 10000 697 20006078
0.3 1000 9 299602
0.3 2000 41 1200592
0.3 3000 93 2700420
0.3 4000 158 4800429
0.3 5000 267 7501586
0.3 6000 417 10791948
0.3 7000 564 14698580
0.3 8000 626 19200459
0.3 9000 883 24308427
0.3 10000 1212 30005097
0.4 1000 15 399993
0.4 2000 64 1601394
0.4 3000 129 3599872
0.4 4000 231 6403305
0.4 5000 394 10000545
0.4 6000 533 14399702
0.4 7000 736 19606629
0.4 8000 1048 25600069
0.4 9000 1224 32406550
0.4 10000 1349 39999155
0.5 1000 15 499861
0.5 2000 60 2000541
0.5 3000 149 4498417
0.5 4000 246 7998322
0.5 5000 375 12500702
0.5 6000 541 17996688
0.5 7000 731 24505439
0.5 8000 946 32003996
0.5 9000 1201 40496396
0.5 10000 1474 50001027
0.6 1000 18 600008
0.6 2000 73 2399247
0.6 3000 163 5397534
0.6 4000 285 9604776
0.6 5000 446 15002056
0.6 6000 636 21606166
0.6 7000 869 29400926
0.6 8000 1130 38402772
0.6 9000 1452 48604089
0.6 10000 1765 60001451
0.7 1000 21 699843
0.7 2000 84 2800025
0.7 3000 187 6298540
0.7 4000 334 11199154
0.7 5000 517 17504191
0.7 6000 741 25195936
0.7 7000 1011 34298095
0.7 8000 1321 44797835
0.7 9000 1684 56700651
0.7 10000 2069 69999773
0.8 1000 24 800058
0.8 2000 95 3199300
0.8 3000 213 7199227
0.8 4000 377 12797414
0.8 5000 609 20000963
0.8 6000 869 28795729
0.8 7000 1175 39203158
0.8 8000 1560 51204331
0.8 9000 1919 64797887
0.8 10000 2352 79995493
0.9 1000 28 900239
0.9 2000 107 3599827
0.9 3000 242 8099621
0.9 4000 429 14399588
0.9 5000 673 22496556
0.9 6000 1031 32401061
0.9 7000 1351 44097770
0.9 8000 1384 57601481
0.9 9000 1966 72899772
0.9 10000 2238 89999883
1 1000 24 1000000
1 2000 110 4000000
1 3000 226 9000000
1 4000 406 16000000
1 5000 632 25000000
1 6000 899 36000000
1 7000 1258 49000000
1 8000 1568 64000000
1 9000 2039 81000000
1 10000 2574 100000000
