# Running Times: 10
# P   V   T(ms)   E
0.1 1000 2 100305
0.1 2000 10 399826
0.1 3000 22 901696
0.1 4000 41 1598092
0.1 5000 62 2498858
0.1 6000 88 3602882
0.1 7000 120 4903959
0.1 8000 155 6402098
0.1 9000 197 8098502
0.1 10000 242 9996977
0.2 1000 5 200025
0.2 2000 20 800641
0.2 3000 45 1800294
0.2 4000 78 3202491
0.2 5000 121 5002423
0.2 6000 174 7201212
0.2 7000 236 9803572
0.2 8000 306 12802433
0.2 9000 387 16200074
0.2 10000 476 19992660
0.3 1000 7 298584
0.3 2000 29 1199927
0.3 3000 65 2699662
0.3 4000 117 4799434
0.3 5000 181 7499629
0.3 6000 257 10797320
0.3 7000 350 14701357
0.3 8000 457 19199073
0.3 9000 577 24295168
0.3 10000 712 29996268
0.4 1000 10 399989
0.4 2000 39 1600103
0.4 3000 87 3601323
0.4 4000 153 6399068
0.4 5000 241 9999526
0.4 6000 342 14399207
0.4 7000 466 19598357
0.4 8000 612 25599750
0.4 9000 770 32398669
0.4 10000 949 39997066
0.5 1000 12 500531
0.5 2000 48 2001412
0.5 3000 108 4501092
0.5 4000 191 8002512
0.5 5000 297 12500072
0.5 6000 428 17998951
0.5 7000 584 24494277
0.5 8000 759 32006448
0.5 9000 960 40507504
0.5 10000 1184 50001975
0.6 1000 15 599886
0.6 2000 58 2399499
0.6 3000 129 5400560
0.6 4000 231 9597477
0.6 5000 358 14999009
0.6 6000 512 21597978
0.6 7000 697 29400296
0.6 8000 909 38395663
0.6 9000 1153 48610438
0.6 10000 1419 59997515
0.7 1000 17 699822
0.7 2000 67 2799632
0.7 3000 150 6301179
0.7 4000 266 11200589
0.7 5000 415 17500471
0.7 6000 598 25203074
0.7 7000 813 34298730
0.7 8000 1062 44794465
0.7 9000 1342 56700807
0.7 10000 1662 70004399
0.8 1000 20 799698
0.8 2000 77 3201458
0.8 3000 172 7199377
0.8 4000 304 12800283
0.8 5000 475 20003385
0.8 6000 682 28800679
0.8 7000 929 39197987
0.8 8000 1212 51196727
0.8 9000 1533 64810083
0.8 10000 1892 80004261
0.9 1000 22 900288
0.9 2000 87 3599940
0.9 3000 192 8099864
0.9 4000 342 14400121
0.9 5000 534 22497127
0.9 6000 767 32398384
0.9 7000 1045 44102208
0.9 8000 1363 57600647
0.9 9000 1725 72897797
0.9 10000 2127 90006922
1 1000 24 1000000
1 2000 96 4000000
1 3000 214 9000000
1 4000 381 16000000
1 5000 593 25000000
1 6000 853 36000000
1 7000 1159 49000000
1 8000 1515 64000000
1 9000 1915 81000000
1 10000 2366 100000000
