# Running Times: 10
# P   V   T(ms)   E
0.1 1000 2 99923
0.1 2000 10 401006
0.1 3000 22 899777
0.1 4000 41 1599070
0.1 5000 62 2496911
0.1 6000 89 3600979
0.1 7000 119 4896721
0.1 8000 157 6398471
0.1 9000 196 8100196
0.1 10000 243 9999344
0.2 1000 5 199684
0.2 2000 20 798177
0.2 3000 44 1800970
0.2 4000 79 3196523
0.2 5000 121 5000096
0.2 6000 173 7196169
0.2 7000 237 9797220
0.2 8000 307 12800220
0.2 9000 390 16197658
0.2 10000 478 19994429
0.3 1000 7 300025
0.3 2000 30 1200365
0.3 3000 66 2701079
0.3 4000 115 4799452
0.3 5000 181 7498137
0.3 6000 258 10798321
0.3 7000 351 14706410
0.3 8000 457 19201621
0.3 9000 579 24299910
0.3 10000 714 29991452
0.4 1000 10 399434
0.4 2000 39 1601614
0.4 3000 87 3598356
0.4 4000 153 6402694
0.4 5000 239 10002349
0.4 6000 344 14399187
0.4 7000 468 19600944
0.4 8000 608 25605201
0.4 9000 770 32404563
0.4 10000 949 40003157
0.5 1000 12 499799
0.5 2000 49 1998941
0.5 3000 108 4499646
0.5 4000 192 7997944
0.5 5000 298 12499006
0.5 6000 427 17994672
0.5 7000 581 24502543
0.5 8000 759 32001655
0.5 9000 962 40504054
0.5 10000 1185 49996288
0.6 1000 15 599874
0.6 2000 58 2400079
0.6 3000 130 5399756
0.6 4000 229 9601244
0.6 5000 359 14999487
0.6 6000 513 21601074
0.6 7000 697 29402030
0.6 8000 914 38390721
0.6 9000 1153 48598283
0.6 10000 1424 59993777
0.7 1000 17 699838
0.7 2000 67 2801030
0.7 3000 150 6300698
0.7 4000 267 11201760
0.7 5000 416 17497614
0.7 6000 598 25200104
0.7 7000 813 34297171
0.7 8000 1061 44798271
0.7 9000 1343 56701608
0.7 10000 1659 69995795
0.8 1000 19 799990
0.8 2000 77 3199468
0.8 3000 173 7201210
0.8 4000 304 12796835
0.8 5000 476 20000695
0.8 6000 682 28800573
0.8 7000 930 39198992
0.8 8000 1212 51198536
0.8 9000 1534 64797650
0.8 10000 1892 79995858
0.9 1000 21 900329
0.9 2000 86 3600835
0.9 3000 193 8100442
0.9 4000 342 14400694
0.9 5000 534 22499118
0.9 6000 769 32399416
0.9 7000 1046 44103347
0.9 8000 1364 57607051
0.9 9000 1724 72900839
0.9 10000 2131 90005002
1 1000 24 1000000
1 2000 96 4000000
1 3000 214 9000000
1 4000 380 16000000
1 5000 596 25000000
1 6000 853 36000000
1 7000 1158 49000000
1 8000 1516 64000000
1 9000 1914 81000000
1 10000 2367 100000000
