# Running Times: 10
# P   V   T(ms)   E
0.1 1000 2 99746
0.1 2000 10 399805
0.1 3000 23 900926
0.1 4000 40 1599977
0.1 5000 62 2499424
0.1 6000 88 3603687
0.1 7000 119 4898783
0.1 8000 155 6404846
0.1 9000 197 8100511
0.1 10000 242 10001185
0.2 1000 5 199852
0.2 2000 20 800809
0.2 3000 45 1798403
0.2 4000 78 3200667
0.2 5000 121 5000049
0.2 6000 173 7203233
0.2 7000 236 9801418
0.2 8000 307 12798790
0.2 9000 386 16193010
0.2 10000 477 20003268
0.3 1000 7 301125
0.3 2000 30 1199711
0.3 3000 66 2698017
0.3 4000 116 4801752
0.3 5000 181 7505627
0.3 6000 257 10801389
0.3 7000 351 14697371
0.3 8000 457 19199318
0.3 9000 578 24303381
0.3 10000 712 29994341
0.4 1000 10 399603
0.4 2000 39 1599372
0.4 3000 87 3600810
0.4 4000 155 6400977
0.4 5000 239 9999434
0.4 6000 343 14400689
0.4 7000 466 19595808
0.4 8000 609 25601233
0.4 9000 769 32396438
0.4 10000 949 39996807
0.5 1000 12 499662
0.5 2000 49 2000356
0.5 3000 108 4500046
0.5 4000 193 8002143
0.5 5000 298 12498676
0.5 6000 435 18001811
0.5 7000 582 24503756
0.5 8000 761 31998721
0.5 9000 959 40490556
0.5 10000 1186 49999525
0.6 1000 15 599037
0.6 2000 58 2399788
0.6 3000 130 5399294
0.6 4000 229 9603800
0.6 5000 357 15000831
0.6 6000 513 21598887
0.6 7000 698 29395011
0.6 8000 912 38400607
0.6 9000 1150 48600505
0.6 10000 1422 60001591
0.7 1000 17 700021
0.7 2000 68 2800378
0.7 3000 153 6300273
0.7 4000 268 11199561
0.7 5000 416 17496309
0.7 6000 598 25205253
0.7 7000 813 34300801
0.7 8000 1065 44800434
0.7 9000 1344 56704900
0.7 10000 1657 69996424
0.8 1000 19 799902
0.8 2000 77 3199159
0.8 3000 172 7199090
0.8 4000 304 12800589
0.8 5000 476 19996899
0.8 6000 683 28800714
0.8 7000 930 39200706
0.8 8000 1213 51199011
0.8 9000 1542 64795038
0.8 10000 1893 80002513
0.9 1000 22 899599
0.9 2000 87 3599027
0.9 3000 193 8100236
0.9 4000 342 14399411
0.9 5000 533 22498449
0.9 6000 768 32401286
0.9 7000 1044 44102301
0.9 8000 1362 57598795
0.9 9000 1724 72901678
0.9 10000 2127 90001146
1 1000 24 1000000
1 2000 96 4000000
1 3000 215 9000000
1 4000 380 16000000
1 5000 594 25000000
1 6000 854 36000000
1 7000 1160 49000000
1 8000 1518 64000000
1 9000 1914 81000000
1 10000 2363 100000000
