# Running Times: 10
# P   V   T(ms)   E
0.1 1000 129381 100053
0.1 2000 207953 399750
0.1 3000 464205 900267
0.1 4000 820731 1601314
0.1 5000 1280597 2501178
0.1 6000 1838876 3597937
0.1 7000 2500693 4900911
0.1 8000 3262476 6401245
0.1 9000 4124500 8098243
0.1 10000 5090670 10003000
0.2 1000 104235 199911
0.2 2000 409355 798262
0.2 3000 918950 1799901
0.2 4000 1628792 3199755
0.2 5000 2546690 5003132
0.2 6000 3657085 7201875
0.2 7000 4973437 9801011
0.2 8000 6491377 12797121
0.2 9000 8217624 16206626
0.2 10000 10131594 20004914
0.3 1000 155088 300096
0.3 2000 611723 1199620
0.3 3000 1373063 2698770
0.3 4000 2438652 4802206
0.3 5000 3803701 7501006
0.3 6000 5468976 10797815
0.3 7000 7441365 14704532
0.3 8000 9706136 19195397
0.3 9000 12287028 24301621
0.3 10000 15176089 30001188
0.4 1000 204369 398833
0.4 2000 813699 1600032
0.4 3000 1825017 3598102
0.4 4000 3241366 6400666
0.4 5000 5065298 10008546
0.4 6000 7284556 14401241
0.4 7000 9912654 19600308
0.4 8000 12936785 25602643
0.4 9000 16362255 32398908
0.4 10000 20197132 40001895
0.5 1000 257025 500690
0.5 2000 1016232 2002036
0.5 3000 2280286 4499537
0.5 4000 4048724 8000219
0.5 5000 6319896 12500356
0.5 6000 9093487 17999275
0.5 7000 12368627 24491444
0.5 8000 16164222 31995098
0.5 9000 20431168 40490866
0.5 10000 25233700 50006924
0.6 1000 305993 599456
0.6 2000 1217857 2401001
0.6 3000 2731768 5402281
0.6 4000 4856816 9598490
0.6 5000 7580609 15002978
0.6 6000 10917642 21601730
0.6 7000 14834824 29396695
0.6 8000 19369447 38396364
0.6 9000 24507800 48597753
0.6 10000 30250483 59996561
0.7 1000 364572 698912
0.7 2000 1417877 2800518
0.7 3000 3187318 6299015
0.7 4000 5654865 11200003
0.7 5000 8831929 17501933
0.7 6000 12720999 25196162
0.7 7000 17301452 34299395
0.7 8000 22587386 44800268
0.7 9000 28582673 56697671
0.7 10000 35290244 70004792
0.8 1000 425137 800551
0.8 2000 1619685 3198429
0.8 3000 3638498 7199402
0.8 4000 6464780 12799226
0.8 5000 10100202 19998247
0.8 6000 14520779 28798642
0.8 7000 19765477 39198059
0.8 8000 25808281 51199123
0.8 9000 32670271 64800381
0.8 10000 40314946 80003184
0.9 1000 484523 900278
0.9 2000 1821701 3599260
0.9 3000 4094652 8100642
0.9 4000 7270147 14399159
0.9 5000 11353495 22501371
0.9 6000 16352882 32400250
0.9 7000 22234375 44098135
0.9 8000 29030406 57603832
0.9 9000 36717472 72898226
0.9 10000 45338603 90004424
1 1000 571464 1000000
1 2000 2024264 4000000
1 3000 4545932 9000000
1 4000 8074412 16000000
1 5000 12613939 25000000
1 6000 18161731 36000000
1 7000 24694141 49000000
1 8000 32241852 64000000
1 9000 40798408 81000000
1 10000 50350836 100000000
