# Running Times: 10
# P   V   T(ms)   E
0.1 1000 129502 99349
0.1 2000 207594 399002
0.1 3000 463253 898295
0.1 4000 820128 1599345
0.1 5000 1279601 2501777
0.1 6000 1839259 3599411
0.1 7000 2499936 4902072
0.1 8000 3261411 6398031
0.1 9000 4127162 8104208
0.1 10000 5087259 9997382
0.2 1000 104171 199782
0.2 2000 410725 799888
0.2 3000 918949 1799636
0.2 4000 1630321 3201193
0.2 5000 2542759 5000589
0.2 6000 3657944 7199191
0.2 7000 4971422 9797158
0.2 8000 6491683 12802749
0.2 9000 8211295 16200364
0.2 10000 10130294 19997778
0.3 1000 155060 299846
0.3 2000 612100 1200178
0.3 3000 1372837 2700161
0.3 4000 2438147 4804020
0.3 5000 3805033 7497886
0.3 6000 5473254 10802208
0.3 7000 7443921 14700155
0.3 8000 9715616 19201520
0.3 9000 12289682 24295313
0.3 10000 15174239 30000205
0.4 1000 205668 399981
0.4 2000 813548 1599499
0.4 3000 1827255 3599466
0.4 4000 3241846 6397714
0.4 5000 5061248 9999975
0.4 6000 7283200 14404215
0.4 7000 9909066 19597240
0.4 8000 12939337 25604569
0.4 9000 16372868 32405455
0.4 10000 20209743 39999054
0.5 1000 256120 500108
0.5 2000 1014521 1999329
0.5 3000 2279284 4498492
0.5 4000 4050556 7999689
0.5 5000 6322702 12498445
0.5 6000 9102773 17999952
0.5 7000 12376962 24500513
0.5 8000 16162242 32002495
0.5 9000 20443313 40492985
0.5 10000 25234398 49994226
0.6 1000 306762 600680
0.6 2000 1217837 2400400
0.6 3000 2737362 5401591
0.6 4000 4856062 9598111
0.6 5000 7579451 15000700
0.6 6000 10914471 21602623
0.6 7000 14848074 29401524
0.6 8000 19384383 38404529
0.6 9000 24523373 48602930
0.6 10000 30263895 59997051
0.7 1000 365772 699908
0.7 2000 1420395 2801443
0.7 3000 3187383 6296601
0.7 4000 5658568 11197259
0.7 5000 8838706 17497931
0.7 6000 12727796 25198742
0.7 7000 17317942 34304946
0.7 8000 22599990 44790451
0.7 9000 28595930 56695859
0.7 10000 35302284 69999053
0.8 1000 425322 799917
0.8 2000 1620783 3199907
0.8 3000 3640042 7199620
0.8 4000 6468891 12803402
0.8 5000 10106844 20001515
0.8 6000 14531137 28799495
0.8 7000 19774965 39199979
0.8 8000 25824178 51195397
0.8 9000 32679598 64798706
0.8 10000 40337879 80002058
0.9 1000 486034 900011
0.9 2000 1823398 3600661
0.9 3000 4093713 8099120
0.9 4000 7282752 14400334
0.9 5000 11359194 22498787
0.9 6000 16357773 32402725
0.9 7000 22246632 44100064
0.9 8000 29032235 57595124
0.9 9000 36754191 72899121
0.9 10000 45354109 89993282
1 1000 569398 1000000
1 2000 2024539 4000000
1 3000 4549372 9000000
1 4000 8079185 16000000
1 5000 12611461 25000000
1 6000 18161863 36000000
1 7000 24711080 49000000
1 8000 32302249 64000000
1 9000 40819630 81000000
1 10000 50388928 100000000
