# Running Times: 10
# P   V   T(ms)   E
0.1 1000 120219 99618
0.1 2000 208698 400228
0.1 3000 463498 900193
0.1 4000 820681 1600352
0.1 5000 1281357 2501456
0.1 6000 1839850 3604440
0.1 7000 2494508 4896910
0.1 8000 3261319 6401201
0.1 9000 4127935 8102471
0.1 10000 5090332 10003020
0.2 1000 104326 200073
0.2 2000 409916 799496
0.2 3000 918320 1798600
0.2 4000 1627369 3201409
0.2 5000 2540410 4996755
0.2 6000 3653668 7199628
0.2 7000 4969406 9798282
0.2 8000 6486847 12802197
0.2 9000 8211587 16202951
0.2 10000 10125260 20000905
0.3 1000 154559 299844
0.3 2000 612297 1199496
0.3 3000 1371832 2699173
0.3 4000 2434969 4799563
0.3 5000 3802769 7505742
0.3 6000 5467619 10800432
0.3 7000 7432594 14695678
0.3 8000 9712122 19196295
0.3 9000 12283392 24304687
0.3 10000 15161567 30007970
0.4 1000 205281 399685
0.4 2000 813633 1599541
0.4 3000 1827667 3598889
0.4 4000 3238371 6396249
0.4 5000 5058728 9997249
0.4 6000 7273858 14397675
0.4 7000 9899168 19600098
0.4 8000 12923229 25596582
0.4 9000 16360962 32399013
0.4 10000 20191193 40004535
0.5 1000 255973 500145
0.5 2000 1015156 2001153
0.5 3000 2276595 4497759
0.5 4000 4047207 8002411
0.5 5000 6314669 12498921
0.5 6000 9091214 18001925
0.5 7000 12371428 24503106
0.5 8000 16143700 32001652
0.5 9000 20430185 40491355
0.5 10000 25210826 49995788
0.6 1000 305992 599513
0.6 2000 1216242 2400003
0.6 3000 2733928 5400681
0.6 4000 4854743 9600232
0.6 5000 7571150 15001079
0.6 6000 10899329 21596178
0.6 7000 14831305 29400404
0.6 8000 19366235 38399263
0.6 9000 24499636 48595217
0.6 10000 30234931 59995681
0.7 1000 357123 700155
0.7 2000 1418323 2800889
0.7 3000 3185673 6300801
0.7 4000 5657161 11202595
0.7 5000 8834472 17498777
0.7 6000 12709119 25199861
0.7 7000 17296877 34300953
0.7 8000 22577563 44798980
0.7 9000 28566800 56697732
0.7 10000 35267743 69999401
0.8 1000 415695 799316
0.8 2000 1621594 3199892
0.8 3000 3638291 7202166
0.8 4000 6460993 12799844
0.8 5000 10091007 20002228
0.8 6000 14521984 28803206
0.8 7000 19763776 39200168
0.8 8000 25808325 51202605
0.8 9000 32658224 64804033
0.8 10000 40319578 80001110
0.9 1000 475088 899744
0.9 2000 1821093 3599817
0.9 3000 4095674 8099942
0.9 4000 7274036 14400495
0.9 5000 11360020 22498008
0.9 6000 16335963 32400565
0.9 7000 22227765 44098256
0.9 8000 29019832 57597678
0.9 9000 36743994 72903646
0.9 10000 45408064 90001021
1 1000 561496 1000000
1 2000 2023633 4000000
1 3000 4600160 9000000
1 4000 8094048 16000000
1 5000 12643555 25000000
1 6000 18161093 36000000
1 7000 24704575 49000000
1 8000 32262813 64000000
1 9000 40815591 81000000
1 10000 50371471 100000000
