# Running Times: 10
# P   V   T(ms)   E
0.1 1000 66277 100098
0.1 2000 257312 400070
0.1 3000 576247 900640
0.1 4000 1017149 1600509
0.1 5000 1585746 2499344
0.1 6000 2278464 3598711
0.1 7000 3100408 4897772
0.1 8000 4065201 6398052
0.1 9000 5130779 8097238
0.1 10000 6326815 10006746
0.2 1000 146906 200611
0.2 2000 508960 799202
0.2 3000 1142357 1799553
0.2 4000 2026328 3201893
0.2 5000 3163022 4998469
0.2 6000 4570969 7199225
0.2 7000 6246367 9800043
0.2 8000 8148696 12798424
0.2 9000 10186822 16198651
0.2 10000 13056731 20000110
0.3 1000 215048 299105
0.3 2000 795725 1201245
0.3 3000 1768050 2699784
0.3 4000 3021774 4797714
0.3 5000 4726634 7500860
0.3 6000 6788744 10800333
0.3 7000 9234142 14698877
0.3 8000 12053328 19203045
0.3 9000 15248530 24300982
0.3 10000 18832382 30004882
0.4 1000 255735 400895
0.4 2000 1063117 1599046
0.4 3000 2266485 3601173
0.4 4000 4021914 6396922
0.4 5000 6279664 9999922
0.4 6000 9037757 14405795
0.4 7000 12291897 19596789
0.4 8000 16063109 25608130
0.4 9000 20321359 32402378
0.4 10000 25069270 40004184
0.5 1000 352274 499309
0.5 2000 1265136 2000171
0.5 3000 2857101 4501308
0.5 4000 5025651 8001763
0.5 5000 7843183 12496532
0.5 6000 11303333 18005571
0.5 7000 15355445 24494646
0.5 8000 20062414 32000848
0.5 9000 25386622 40509153
0.5 10000 31307837 50005370
0.6 1000 445484 599905
0.6 2000 1512207 2399287
0.6 3000 3409581 5401367
0.6 4000 6092300 9599919
0.6 5000 8754487 15004794
0.6 6000 10961576 21600143
0.6 7000 15015352 29398589
0.6 8000 19378671 38404668
0.6 9000 24520117 48598563
0.6 10000 30262541 60010066
0.7 1000 424901 699677
0.7 2000 1417607 2801057
0.7 3000 3186861 6299627
0.7 4000 5656515 11197409
0.7 5000 8836731 17495676
0.7 6000 12712669 25194182
0.7 7000 17314608 34303879
0.7 8000 22605808 44802984
0.7 9000 28613158 56693744
0.7 10000 35286704 69997893
0.8 1000 422871 799965
0.8 2000 1621412 3200268
0.8 3000 3639356 7201250
0.8 4000 6462725 12798126
0.8 5000 10102155 20000475
0.8 6000 14533625 28796208
0.8 7000 19772053 39200021
0.8 8000 25810521 51196376
0.8 9000 32665831 64799509
0.8 10000 40312155 79997281
0.9 1000 482282 900312
0.9 2000 1824890 3600144
0.9 3000 4097720 8101177
0.9 4000 7269824 14399091
0.9 5000 11357831 22501685
0.9 6000 16337657 32399321
0.9 7000 22250504 44099821
0.9 8000 29042029 57601514
0.9 9000 36746300 72898611
0.9 10000 45349177 89995956
1 1000 567030 1000000
1 2000 2025136 4000000
1 3000 4549137 9000000
1 4000 8074600 16000000
1 5000 12611972 25000000
1 6000 18162810 36000000
1 7000 24701313 49000000
1 8000 32254618 64000000
1 9000 40819304 81000000
1 10000 50365151 100000000
