# Running Times: 10
# P   V   T(ms)   E
0.1 1000 129230 100320
0.1 2000 207854 399993
0.1 3000 463645 899444
0.1 4000 818964 1599219
0.1 5000 1277542 2498886
0.1 6000 1838426 3601536
0.1 7000 2495612 4900164
0.1 8000 3259403 6401382
0.1 9000 4121017 8098300
0.1 10000 5082463 9998111
0.2 1000 104444 200006
0.2 2000 410110 799982
0.2 3000 917205 1800049
0.2 4000 1629346 3202249
0.2 5000 2539560 5002500
0.2 6000 3651309 7199265
0.2 7000 4967716 9799837
0.2 8000 6483148 12797162
0.2 9000 8198702 16195795
0.2 10000 10118837 19996009
0.3 1000 154904 300103
0.3 2000 612474 1201619
0.3 3000 1371609 2700292
0.3 4000 2433235 4800843
0.3 5000 3796116 7497414
0.3 6000 5464978 10802609
0.3 7000 7433191 14696435
0.3 8000 9709925 19204419
0.3 9000 12274299 24291356
0.3 10000 15150525 29998726
0.4 1000 205120 400559
0.4 2000 812628 1599771
0.4 3000 1822572 3597198
0.4 4000 3240029 6399034
0.4 5000 5061931 10004026
0.4 6000 7287455 14404677
0.4 7000 9911639 19603445
0.4 8000 12941814 25603054
0.4 9000 16365464 32398689
0.4 10000 20213556 40006237
0.5 1000 255840 499672
0.5 2000 1015021 1998855
0.5 3000 2280345 4499262
0.5 4000 4048308 7998084
0.5 5000 6320474 12498030
0.5 6000 9100028 18001091
0.5 7000 12381836 24500160
0.5 8000 16166528 32000302
0.5 9000 20443202 40494550
0.5 10000 25225464 50010726
0.6 1000 306521 600399
0.6 2000 1217287 2400844
0.6 3000 2731842 5399816
0.6 4000 4852064 9599998
0.6 5000 7571520 15000936
0.6 6000 10905136 21596990
0.6 7000 14842125 29401982
0.6 8000 19373473 38399470
0.6 9000 24517922 48594126
0.6 10000 30249741 60002538
0.7 1000 365133 700348
0.7 2000 1417774 2799543
0.7 3000 3188069 6299844
0.7 4000 5655410 11199382
0.7 5000 8844448 17499075
0.7 6000 12716135 25196636
0.7 7000 17296333 34298343
0.7 8000 22603848 44803323
0.7 9000 28605207 56705797
0.7 10000 35274386 70003274
0.8 1000 425778 800619
0.8 2000 1619696 3199948
0.8 3000 3636876 7198535
0.8 4000 6469381 12800109
0.8 5000 10093860 20002193
0.8 6000 14534152 28799435
0.8 7000 20358320 39205054
0.8 8000 26438147 51195400
0.8 9000 33892595 64800665
0.8 10000 40300144 80002956
0.9 1000 485592 899994
0.9 2000 1824617 3599523
0.9 3000 4091990 8100778
0.9 4000 7270528 14400822
0.9 5000 11349878 22497603
0.9 6000 16337104 32399510
0.9 7000 22266711 44100216
0.9 8000 29026251 57602540
0.9 9000 36725887 72893874
0.9 10000 45326509 89999837
1 1000 572435 1000000
1 2000 2022466 4000000
1 3000 4546800 9000000
1 4000 8073611 16000000
1 5000 12612941 25000000
1 6000 18143701 36000000
1 7000 24693058 49000000
1 8000 32236631 64000000
1 9000 40810448 81000000
1 10000 50360352 100000000
