# Running Times: 10
# P   V   T(ms)   E
0.1 1000 129263 99627
0.1 2000 207682 399598
0.1 3000 463904 898420
0.1 4000 819520 1599601
0.1 5000 1279738 2498341
0.1 6000 1837438 3600203
0.1 7000 2497430 4901702
0.1 8000 3262026 6402720
0.1 9000 4123369 8097147
0.1 10000 5084437 10000287
0.2 1000 104002 199664
0.2 2000 410298 800647
0.2 3000 919191 1800274
0.2 4000 1628966 3199926
0.2 5000 2541868 5003890
0.2 6000 3655550 7198462
0.2 7000 4967805 9796313
0.2 8000 6484595 12801539
0.2 9000 8199302 16193474
0.2 10000 10125976 19997961
0.3 1000 155270 300497
0.3 2000 612332 1200448
0.3 3000 1373472 2701191
0.3 4000 2434635 4801344
0.3 5000 3801223 7503150
0.3 6000 5467743 10798512
0.3 7000 7438185 14698897
0.3 8000 9708125 19197333
0.3 9000 12291583 24303692
0.3 10000 15155209 30001839
0.4 1000 205596 400534
0.4 2000 814945 1600180
0.4 3000 1825266 3601819
0.4 4000 3242492 6399634
0.4 5000 5055506 9999920
0.4 6000 7279303 14402914
0.4 7000 9907297 19593268
0.4 8000 12924474 25598450
0.4 9000 16358373 32391201
0.4 10000 20193455 40001566
0.5 1000 255286 499416
0.5 2000 1016542 2000501
0.5 3000 2282313 4501487
0.5 4000 4046936 8000089
0.5 5000 6320561 12500640
0.5 6000 9091444 17996457
0.5 7000 12374671 24505507
0.5 8000 16151107 32002313
0.5 9000 20432187 40504030
0.5 10000 25210385 50002988
0.6 1000 306146 599927
0.6 2000 1218259 2400499
0.6 3000 2733318 5399946
0.6 4000 4855162 9600887
0.6 5000 7580811 15002244
0.6 6000 10904135 21595523
0.6 7000 14835830 29395267
0.6 8000 19392220 38401158
0.6 9000 24525964 48589639
0.6 10000 30275733 59997261
0.7 1000 366398 700364
0.7 2000 1418878 2801102
0.7 3000 3188746 6300294
0.7 4000 5660036 11198705
0.7 5000 8837897 17497470
0.7 6000 12719228 25201329
0.7 7000 17310418 34296019
0.7 8000 22605608 44799521
0.7 9000 28621353 56715910
0.7 10000 35299233 69999637
0.8 1000 425474 800244
0.8 2000 1619721 3198403
0.8 3000 3641286 7200650
0.8 4000 6468374 12800947
0.8 5000 10098747 20002439
0.8 6000 14548803 28800637
0.8 7000 19776577 39196721
0.8 8000 25852625 51201399
0.8 9000 32677851 64803818
0.8 10000 40340184 80004575
0.9 1000 484789 900047
0.9 2000 1822603 3600469
0.9 3000 4093887 8099223
0.9 4000 7275086 14398469
0.9 5000 11359956 22494506
0.9 6000 16350389 32399050
0.9 7000 22249583 44103099
0.9 8000 29038277 57600068
0.9 9000 36754504 72902977
0.9 10000 45358229 89997364
1 1000 570472 1000000
1 2000 2024674 4000000
1 3000 4549802 9000000
1 4000 8074836 16000000
1 5000 12618548 25000000
1 6000 18160337 36000000
1 7000 24713348 49000000
1 8000 32259910 64000000
1 9000 40843902 81000000
1 10000 50384735 100000000
