# Running Times: 10
# P   V   T(ms)   E
0.1 1000 232085 100152
0.1 2000 208404 400072
0.1 3000 466311 900932
0.1 4000 819886 1600001
0.1 5000 1279576 2501417
0.1 6000 1839584 3598550
0.1 7000 2502552 4900813
0.1 8000 3265951 6404215
0.1 9000 4126545 8101971
0.1 10000 5089174 9997392
0.2 1000 125387 199348
0.2 2000 412561 800593
0.2 3000 921245 1801371
0.2 4000 1627696 3199582
0.2 5000 2542712 4999807
0.2 6000 3656119 7200495
0.2 7000 4970222 9795605
0.2 8000 6494242 12797859
0.2 9000 8206965 16201770
0.2 10000 10127136 19991624
0.3 1000 167699 299921
0.3 2000 611225 1199053
0.3 3000 1377530 2700599
0.3 4000 2435874 4802458
0.3 5000 3811938 7499753
0.3 6000 5470416 10800112
0.3 7000 7444451 14699229
0.3 8000 9719359 19201692
0.3 9000 12295502 24304577
0.3 10000 15169806 29993598
0.4 1000 265475 399451
0.4 2000 816073 1599443
0.4 3000 1830504 3600311
0.4 4000 3244725 6401741
0.4 5000 5064746 10001076
0.4 6000 7291290 14399222
0.4 7000 9904336 19597386
0.4 8000 12946113 25594968
0.4 9000 16366374 32396208
0.4 10000 20201271 40004030
0.5 1000 321414 499740
0.5 2000 1015492 2000227
0.5 3000 2280949 4497812
0.5 4000 4052359 8000434
0.5 5000 6327452 12502896
0.5 6000 9097949 17999777
0.5 7000 12369836 24497742
0.5 8000 16157429 32002777
0.5 9000 20454085 40503213
0.5 10000 25232632 49999281
0.6 1000 368506 599355
0.6 2000 1216769 2399928
0.6 3000 2733191 5400240
0.6 4000 4851147 9600927
0.6 5000 7579872 15003043
0.6 6000 10904445 21597969
0.6 7000 14839382 29394351
0.6 8000 19376300 38400508
0.6 9000 24531543 48601367
0.6 10000 30259709 60003797
0.7 1000 356812 699633
0.7 2000 1419430 2800130
0.7 3000 3185102 6297785
0.7 4000 5662324 11201050
0.7 5000 8839624 17499893
0.7 6000 12714029 25199940
0.7 7000 17302994 34302426
0.7 8000 22590632 44797698
0.7 9000 28579150 56699373
0.7 10000 35309232 69995758
0.8 1000 415682 800072
0.8 2000 1621873 3201584
0.8 3000 3645383 7200409
0.8 4000 6469588 12801747
0.8 5000 10106242 20000065
0.8 6000 14560110 28802733
0.8 7000 19805620 39200695
0.8 8000 25830193 51198857
0.8 9000 32682308 64800328
0.8 10000 40290546 80000386
0.9 1000 474854 900191
0.9 2000 1822433 3600643
0.9 3000 4092678 8100019
0.9 4000 7266990 14399085
0.9 5000 11348236 22498182
0.9 6000 16340590 32399707
0.9 7000 22216730 44097986
0.9 8000 29055940 57600626
0.9 9000 36766285 72899736
0.9 10000 45389131 90004811
1 1000 560668 1000000
1 2000 2024085 4000000
1 3000 4549382 9000000
1 4000 8078802 16000000
1 5000 12624781 25000000
1 6000 18163548 36000000
1 7000 24708726 49000000
1 8000 32343382 64000000
1 9000 40825543 81000000
1 10000 50354690 100000000
