# Running Times: 10
# P   V   T(ms)   E
0.1 1000 120290 99865
0.1 2000 209426 400730
0.1 3000 464379 900263
0.1 4000 820784 1599883
0.1 5000 1279456 2498958
0.1 6000 1837347 3598880
0.1 7000 2496392 4896052
0.1 8000 3259767 6398111
0.1 9000 4125866 8100964
0.1 10000 5091125 10000040
0.2 1000 104410 199813
0.2 2000 411127 800414
0.2 3000 918170 1799570
0.2 4000 1627091 3199241
0.2 5000 2544191 5004030
0.2 6000 3657651 7203454
0.2 7000 4973179 9804801
0.2 8000 6487688 12803680
0.2 9000 8210342 16199330
0.2 10000 10127074 19994942
0.3 1000 155692 301163
0.3 2000 612347 1199992
0.3 3000 1373843 2701496
0.3 4000 2436913 4802066
0.3 5000 3802347 7497320
0.3 6000 5467771 10805599
0.3 7000 7437411 14692130
0.3 8000 9714291 19200465
0.3 9000 12292040 24298511
0.3 10000 15159076 29997899
0.4 1000 206010 400599
0.4 2000 813798 1600560
0.4 3000 1827842 3602186
0.4 4000 3244745 6401803
0.4 5000 5061969 10003142
0.4 6000 7280358 14403019
0.4 7000 9902502 19599421
0.4 8000 12932669 25603011
0.4 9000 16359972 32397543
0.4 10000 20196160 40009899
0.5 1000 255765 499750
0.5 2000 1017503 2000650
0.5 3000 2280243 4501185
0.5 4000 4047167 7998263
0.5 5000 6317861 12498938
0.5 6000 9096305 18003545
0.5 7000 12372236 24502614
0.5 8000 16144188 32002156
0.5 9000 20428789 40493925
0.5 10000 25221991 49993981
0.6 1000 306508 599855
0.6 2000 1216226 2399799
0.6 3000 2732435 5400803
0.6 4000 4854092 9597812
0.6 5000 7572511 15003212
0.6 6000 10904823 21604386
0.6 7000 14827623 29399651
0.6 8000 19360312 38398325
0.6 9000 24493767 48598582
0.6 10000 30234814 60001127
0.7 1000 356554 700158
0.7 2000 1418803 2800991
0.7 3000 3184697 6299603
0.7 4000 5657200 11200191
0.7 5000 8832089 17502308
0.7 6000 12707961 25200532
0.7 7000 17307019 34302997
0.7 8000 22586003 44792450
0.7 9000 28571272 56698232
0.7 10000 35274087 70005643
0.8 1000 415499 799888
0.8 2000 1620123 3201027
0.8 3000 3638406 7199588
0.8 4000 6461343 12801929
0.8 5000 10088975 20001167
0.8 6000 14522650 28798541
0.8 7000 19756908 39196357
0.8 8000 25789759 51196781
0.8 9000 32651958 64797884
0.8 10000 40286089 80004262
0.9 1000 475467 900578
0.9 2000 1822720 3600249
0.9 3000 4089378 8099140
0.9 4000 7266547 14399975
0.9 5000 11342283 22500204
0.9 6000 16358310 32399300
0.9 7000 22215200 44095956
0.9 8000 29022085 57595965
0.9 9000 36712322 72906611
0.9 10000 45298970 90002314
1 1000 560200 1000000
1 2000 2021200 4000000
1 3000 4545172 9000000
1 4000 8068721 16000000
1 5000 12610376 25000000
1 6000 18143050 36000000
1 7000 24677420 49000000
1 8000 32224090 64000000
1 9000 40773798 81000000
1 10000 50340634 100000000
