# Running Times: 10
# P   V   T(ms)   E
0.1 1000 128925 99500
0.1 2000 207939 400094
0.1 3000 463058 899687
0.1 4000 819428 1599115
0.1 5000 1278094 2500255
0.1 6000 1840995 3605483
0.1 7000 2497921 4900722
0.1 8000 3261270 6402460
0.1 9000 4120185 8099412
0.1 10000 5088347 10002247
0.2 1000 105775 199831
0.2 2000 409765 800411
0.2 3000 920179 1801712
0.2 4000 1628786 3198888
0.2 5000 2539098 4999334
0.2 6000 3656710 7197532
0.2 7000 4972817 9802176
0.2 8000 6483941 12792726
0.2 9000 8211729 16193918
0.2 10000 10130404 20002939
0.3 1000 154874 300071
0.3 2000 611772 1199988
0.3 3000 1372842 2700885
0.3 4000 2434631 4801177
0.3 5000 3799351 7499737
0.3 6000 5473152 10804224
0.3 7000 7439462 14698632
0.3 8000 9711717 19199748
0.3 9000 12289946 24301151
0.3 10000 15165434 29997091
0.4 1000 206966 400686
0.4 2000 814462 1600000
0.4 3000 1831097 3599743
0.4 4000 3243997 6398263
0.4 5000 5058845 9996491
0.4 6000 7279743 14398569
0.4 7000 9903232 19595295
0.4 8000 12936000 25603156
0.4 9000 16365035 32401135
0.4 10000 20195389 39998310
0.5 1000 256001 500055
0.5 2000 1015191 1999655
0.5 3000 2279114 4497510
0.5 4000 4047753 7997398
0.5 5000 6317210 12498634
0.5 6000 9096868 17997633
0.5 7000 12375491 24504073
0.5 8000 16161396 31995490
0.5 9000 20438864 40501687
0.5 10000 25230801 50010790
0.6 1000 307213 600611
0.6 2000 1216771 2399706
0.6 3000 2730344 5396824
0.6 4000 4854531 9599015
0.6 5000 7575870 15001881
0.6 6000 10916700 21602691
0.6 7000 14839356 29401361
0.6 8000 19369215 38409175
0.6 9000 24513441 48601830
0.6 10000 30258807 59999442
0.7 1000 366079 700024
0.7 2000 1417343 2800839
0.7 3000 3189046 6301915
0.7 4000 5661836 11200919
0.7 5000 8843297 17499066
0.7 6000 12717845 25202091
0.7 7000 17296985 34297300
0.7 8000 22588821 44796346
0.7 9000 28580071 56701890
0.7 10000 35276538 69990080
0.8 1000 426270 799784
0.8 2000 1620850 3199057
0.8 3000 3641789 7200517
0.8 4000 6466718 12800703
0.8 5000 10092179 19998058
0.8 6000 14531635 28800681
0.8 7000 19774404 39200876
0.8 8000 25814615 51199277
0.8 9000 32657813 64799983
0.8 10000 40319483 79999447
0.9 1000 484434 899754
0.9 2000 1823453 3600090
0.9 3000 4092121 8100364
0.9 4000 7274421 14402703
0.9 5000 11352595 22499065
0.9 6000 16337205 32395944
0.9 7000 22239978 44103658
0.9 8000 29038441 57599466
0.9 9000 36731134 72898400
0.9 10000 45334249 90005957
1 1000 569257 1000000
1 2000 2021249 4000000
1 3000 4546321 9000000
1 4000 8075258 16000000
1 5000 12613126 25000000
1 6000 18151545 36000000
1 7000 24688690 49000000
1 8000 32244868 64000000
1 9000 40791407 81000000
1 10000 50349475 100000000
