# Running Times: 10
# P   V   T(ms)   E
0.1 1000 128627 99350
0.1 2000 207582 399311
0.1 3000 462549 898502
0.1 4000 819890 1597687
0.1 5000 1277727 2500920
0.1 6000 1837921 3600769
0.1 7000 2498267 4900467
0.1 8000 3256390 6399993
0.1 9000 4119767 8092824
0.1 10000 5082556 9994780
0.2 1000 103912 199556
0.2 2000 409730 799713
0.2 3000 918488 1800551
0.2 4000 1627096 3201036
0.2 5000 2538247 4997789
0.2 6000 3651735 7197470
0.2 7000 4967438 9793120
0.2 8000 6485181 12796449
0.2 9000 8210249 16199544
0.2 10000 10123620 19999006
0.3 1000 155009 300240
0.3 2000 612637 1200392
0.3 3000 1371303 2700023
0.3 4000 2431095 4796121
0.3 5000 3798854 7498128
0.3 6000 5463496 10801625
0.3 7000 7437178 14701302
0.3 8000 9704900 19201140
0.3 9000 12273178 24284268
0.3 10000 15156326 30004034
0.4 1000 204724 399886
0.4 2000 813050 1599976
0.4 3000 1827250 3603135
0.4 4000 3240022 6401222
0.4 5000 5054588 9998236
0.4 6000 7275363 14399723
0.4 7000 9902979 19603136
0.4 8000 12921016 25595111
0.4 9000 16355889 32395538
0.4 10000 20181168 39999495
0.5 1000 255537 500213
0.5 2000 1014913 1999178
0.5 3000 2278405 4499981
0.5 4000 4044961 7996473
0.5 5000 6312760 12499258
0.5 6000 9092073 17996212
0.5 7000 12367200 24505840
0.5 8000 16143334 31997422
0.5 9000 20437593 40509220
0.5 10000 25221885 50006780
0.6 1000 305755 599797
0.6 2000 1216890 2399745
0.6 3000 2729768 5398712
0.6 4000 4850508 9600195
0.6 5000 7569115 14999649
0.6 6000 10895730 21597882
0.6 7000 14831737 29401861
0.6 8000 19364189 38402227
0.6 9000 24491666 48601853
0.6 10000 30239142 60002115
0.7 1000 359292 699936
0.7 2000 1418083 2800886
0.7 3000 3185068 6299316
0.7 4000 5657159 11202776
0.7 5000 8832418 17501839
0.7 6000 12711250 25200638
0.7 7000 17297878 34302171
0.7 8000 22572424 44796818
0.7 9000 28567380 56700850
0.7 10000 35291610 69999200
0.8 1000 424001 799789
0.8 2000 1620481 3200697
0.8 3000 3637179 7201418
0.8 4000 6458002 12797904
0.8 5000 10085552 19995863
0.8 6000 14518638 28804750
0.8 7000 19758120 39203748
0.8 8000 25789709 51198677
0.8 9000 32682245 64799367
0.8 10000 40337587 80009091
0.9 1000 484989 899958
0.9 2000 1822105 3599880
0.9 3000 4092332 8099841
0.9 4000 7275545 14399646
0.9 5000 11357567 22501571
0.9 6000 16342214 32399055
0.9 7000 22212878 44100375
0.9 8000 29009237 57598210
0.9 9000 36708659 72897949
0.9 10000 45300378 89998810
1 1000 568768 1000000
1 2000 2024817 4000000
1 3000 4543733 9000000
1 4000 8068664 16000000
1 5000 12602471 25000000
1 6000 18145326 36000000
1 7000 24682739 49000000
1 8000 32229317 64000000
1 9000 40778867 81000000
1 10000 50337157 100000000
