# Running Times: 10
# P   V   T(ms)   E
0.1 1000 127396 99692
0.1 2000 280887 401378
0.1 3000 463861 901818
0.1 4000 822869 1600662
0.1 5000 1278558 2500325
0.1 6000 1839388 3598928
0.1 7000 2495909 4897549
0.1 8000 3262831 6398005
0.1 9000 4127775 8104613
0.1 10000 5085172 9998681
0.2 1000 107051 200139
0.2 2000 409490 799765
0.2 3000 917435 1797138
0.2 4000 1627754 3199489
0.2 5000 2540349 5001125
0.2 6000 3653155 7201709
0.2 7000 4970016 9804855
0.2 8000 6486541 12801575
0.2 9000 8203679 16200792
0.2 10000 10127749 20000248
0.3 1000 165455 299993
0.3 2000 612924 1200391
0.3 3000 1372083 2701536
0.3 4000 2432165 4797030
0.3 5000 3807357 7499419
0.3 6000 5462470 10793552
0.3 7000 7437031 14705626
0.3 8000 9705872 19196339
0.3 9000 12279548 24303758
0.3 10000 15158099 30002199
0.4 1000 238873 400626
0.4 2000 813213 1598957
0.4 3000 1825819 3602011
0.4 4000 3239159 6398456
0.4 5000 5054502 9997861
0.4 6000 7279785 14399345
0.4 7000 9908890 19606291
0.4 8000 12928611 25599001
0.4 9000 16355134 32402313
0.4 10000 20196533 39998669
0.5 1000 300044 499816
0.5 2000 1013583 1998731
0.5 3000 2277218 4499984
0.5 4000 4045702 8001834
0.5 5000 6313252 12496663
0.5 6000 9093009 18002410
0.5 7000 12368207 24501859
0.5 8000 16164348 32003380
0.5 9000 20424631 40495943
0.5 10000 25222520 50003058
0.6 1000 305543 599625
0.6 2000 1217306 2401205
0.6 3000 2730371 5397542
0.6 4000 4849835 9598090
0.6 5000 7571740 15001576
0.6 6000 10901131 21602843
0.6 7000 14837039 29399073
0.6 8000 19356093 38401202
0.6 9000 24522581 48608374
0.6 10000 30264957 59997020
0.7 1000 364651 699396
0.7 2000 1419141 2800595
0.7 3000 3188843 6302982
0.7 4000 5660520 11198126
0.7 5000 8847935 17499545
0.7 6000 12729972 25200106
0.7 7000 17316304 34301824
0.7 8000 22605443 44799741
0.7 9000 28606193 56697496
0.7 10000 35312301 70001996
0.8 1000 425363 800384
0.8 2000 1620532 3200282
0.8 3000 3641250 7198497
0.8 4000 6469874 12797860
0.8 5000 10097115 19998018
0.8 6000 14536862 28802300
0.8 7000 19784099 39199069
0.8 8000 25821878 51194906
0.8 9000 32686155 64802461
0.8 10000 40298278 79998984
0.9 1000 483402 899707
0.9 2000 1820971 3599745
0.9 3000 4089728 8101070
0.9 4000 7266522 14399940
0.9 5000 11345629 22499745
0.9 6000 16332191 32399805
0.9 7000 22239414 44098592
0.9 8000 29049141 57601716
0.9 9000 36761159 72899300
0.9 10000 45354939 89997726
1 1000 569089 1000000
1 2000 2023898 4000000
1 3000 4548107 9000000
1 4000 8079387 16000000
1 5000 12612429 25000000
1 6000 18155633 36000000
1 7000 24718905 49000000
1 8000 32273989 64000000
1 9000 40828060 81000000
1 10000 50400529 100000000
